n/n0,rho_c2,p,epsilon
2.956e-14,4.444e-12,6.303e-25,4.385e-12
2.975e-14,4.472e-12,6.303e-24,4.407e-12
3.069e-14,4.613e-12,6.303e-23,4.547e-12
4.369e-14,6.568e-12,7.551e-22,6.472e-12
6.187e-14,9.302e-12,8.737e-21,9.150e-12
1.700e-13,2.556e-11,1.061e-19,2.516e-11
7.937e-13,1.193e-10,3.632e-18,1.183e-10
4.331e-12,6.511e-10,1.186e-16,6.416e-10
3.934e-11,5.915e-9,6.081e-15,5.825e-9
9.881e-11,1.485e-8,3.100e-14,1.463e-8
2.483e-10,3.732e-8,1.517e-13,3.675e-8
6.235e-10,9.373e-8,7.183e-13,9.228e-8
1.566e-9,2.355e-7,3.286e-12,2.319e-7
3.934e-9,5.914e-7,1.447e-11,5.825e-7
9.881e-9,1.485e-6,6.088e-11,1.463e-6
2.483e-8,3.732e-6,2.441e-10,3.676e-6
3.125e-8,4.698e-6,3.282e-10,4.627e-6
6.235e-8,9.373e-6,8.955e-10,9.233e-6
1.244e-7,1.870e-5,2.392e-9,1.842e-5
2.482e-7,3.732e-5,6.278e-9,3.676e-5
4.953e-7,7.445e-5,1.625e-8,7.337e-5
9.881e-7,1.485e-4,4.166e-8,1.464e-4
1.244e-6,1.870e-4,5.453e-8,1.843e-4
1.972e-6,2.964e-4,1.017e-7,2.922e-4
3.125e-6,4.698e-4,1.890e-7,4.631e-4
3.934e-6,5.914e-4,2.577e-7,5.830e-4
4.952e-6,7.445e-4,3.143e-7,7.342e-4
6.235e-6,9.373e-4,4.281e-7,9.245e-4
9.881e-6,1.485e-3,7.938e-7,1.465e-3
1.566e-5,2.355e-3,1.470e-6,2.323e-3
2.482e-5,3.732e-3,2.722e-6,3.683e-3
3.125e-5,4.698e-3,3.533e-6,4.637e-3
3.934e-5,5.914e-3,4.807e-6,5.836e-3
4.952e-5,7.445e-3,6.540e-6,7.353e-3
6.235e-5,9.373e-3,8.893e-6,9.256e-3
7.850e-5,1.180e-2,1.209e-5,1.166e-2
9.881e-5,1.485e-2,1.562e-5,1.468e-2
1.244e-4,1.870e-2,2.124e-5,1.848e-2
1.566e-4,2.355e-2,2.888e-5,2.328e-2
1.972e-4,2.964e-2,3.713e-5,2.931e-2
2.482e-4,3.732e-2,5.048e-5,3.692e-2
3.125e-4,4.698e-2,6.865e-5,4.649e-2
3.934e-4,5.914e-2,9.330e-5,5.852e-2
4.953e-4,7.445e-2,1.269e-4,7.376e-2
6.235e-4,9.373e-2,1.621e-4,9.284e-2
6.906e-4,1.038e-1,1.805e-4,1.029e-1
7.850e-4,1.180e-1,2.053e-4,1.169e-1
9.881e-4,1.485e-1,2.791e-4,1.473e-1
1.244e-3,1.870e-1,3.630e-4,1.855e-1
1.608e-3,2.417e-1,4.871e-4,2.398e-1
1.669e-3,2.509e-1,4.924e-4,2.488e-1
1.954e-3,2.937e-1,5.212e-4,2.917e-1
2.469e-3,3.712e-1,5.678e-4,3.688e-1
2.974e-3,4.471e-1,6.135e-4,4.443e-1
3.633e-3,5.461e-1,6.759e-4,5.427e-1
4.464e-3,6.711e-1,7.601e-4,6.673e-1
5.491e-3,8.255e-1,8.731e-4,8.207e-1
6.250e-3,9.396e-1,5.944e-4,9.390e-1
2.500e-2,3.758,5.799e-3,3.762
5.000e-2,7.517,1.166e-2,7.530
7.500e-2,11.27,2.085e-2,11.30
1.000e-1,15.03,3.216e-2,15.08
1.250e-1,18.79,4.515e-2,18.86
1.500e-1,22.55,5.961e-2,22.64
1.750e-1,26.31,7.544e-2,26.42
2.000e-1,30.07,9.260e-2,30.21
2.250e-1,33.82,1.110e-1,34.00
2.500e-1,37.58,1.308e-1,37.79
2.750e-1,41.34,1.518e-1,41.58
3.000e-1,45.10,1.742e-1,45.38
3.250e-1,48.86,1.980e-1,49.18
3.500e-1,52.62,2.231e-1,52.98
3.750e-1,56.37,2.497e-1,56.78
4.000e-1,60.13,2.777e-1,60.58
4.250e-1,63.89,3.073e-1,64.38
4.500e-1,67.65,3.385e-1,68.19
4.750e-1,71.41,3.713e-1,72.00
5.000e-1,75.17,4.054e-1,75.81
