Lambda(variables[0]=1.0),Lambda(variables[0]=1.0121212121212122),Lambda(variables[0]=1.0242424242424242),Lambda(variables[0]=1.0363636363636364),Lambda(variables[0]=1.0484848484848486),Lambda(variables[0]=1.0606060606060606),Lambda(variables[0]=1.0727272727272728),Lambda(variables[0]=1.084848484848485),Lambda(variables[0]=1.096969696969697),Lambda(variables[0]=1.1090909090909091),Lambda(variables[0]=1.1212121212121213),Lambda(variables[0]=1.1333333333333333),Lambda(variables[0]=1.1454545454545455),Lambda(variables[0]=1.1575757575757577),Lambda(variables[0]=1.1696969696969697),Lambda(variables[0]=1.1818181818181819),Lambda(variables[0]=1.1939393939393939),Lambda(variables[0]=1.206060606060606),Lambda(variables[0]=1.2181818181818183),Lambda(variables[0]=1.2303030303030305),Lambda(variables[0]=1.2424242424242424),Lambda(variables[0]=1.2545454545454546),Lambda(variables[0]=1.2666666666666666),Lambda(variables[0]=1.2787878787878788),Lambda(variables[0]=1.290909090909091),Lambda(variables[0]=1.3030303030303032),Lambda(variables[0]=1.3151515151515152),Lambda(variables[0]=1.3272727272727274),Lambda(variables[0]=1.3393939393939394),Lambda(variables[0]=1.3515151515151516),Lambda(variables[0]=1.3636363636363638),Lambda(variables[0]=1.3757575757575757),Lambda(variables[0]=1.387878787878788),Lambda(variables[0]=1.4000000000000001),Lambda(variables[0]=1.412121212121212),Lambda(variables[0]=1.4242424242424243),Lambda(variables[0]=1.4363636363636365),Lambda(variables[0]=1.4484848484848485),Lambda(variables[0]=1.4606060606060607),Lambda(variables[0]=1.4727272727272727),Lambda(variables[0]=1.4848484848484849),Lambda(variables[0]=1.496969696969697),Lambda(variables[0]=1.5090909090909093),Lambda(variables[0]=1.5212121212121212),Lambda(variables[0]=1.5333333333333334),Lambda(variables[0]=1.5454545454545454),Lambda(variables[0]=1.5575757575757576),Lambda(variables[0]=1.5696969696969698),Lambda(variables[0]=1.581818181818182),Lambda(variables[0]=1.593939393939394),Lambda(variables[0]=1.6060606060606062),Lambda(variables[0]=1.6181818181818182),Lambda(variables[0]=1.6303030303030304),Lambda(variables[0]=1.6424242424242426),Lambda(variables[0]=1.6545454545454548),Lambda(variables[0]=1.6666666666666667),Lambda(variables[0]=1.678787878787879),Lambda(variables[0]=1.690909090909091),Lambda(variables[0]=1.7030303030303031),Lambda(variables[0]=1.7151515151515153),Lambda(variables[0]=1.7272727272727275),Lambda(variables[0]=1.7393939393939395),Lambda(variables[0]=1.7515151515151515),Lambda(variables[0]=1.7636363636363637),Lambda(variables[0]=1.7757575757575759),Lambda(variables[0]=1.787878787878788),Lambda(variables[0]=1.8000000000000003),Lambda(variables[0]=1.8121212121212122),Lambda(variables[0]=1.8242424242424242),Lambda(variables[0]=1.8363636363636364),Lambda(variables[0]=1.8484848484848486),Lambda(variables[0]=1.8606060606060608),Lambda(variables[0]=1.8727272727272728),Lambda(variables[0]=1.884848484848485),Lambda(variables[0]=1.896969696969697),Lambda(variables[0]=1.9090909090909092),Lambda(variables[0]=1.9212121212121214),Lambda(variables[0]=1.9333333333333336),Lambda(variables[0]=1.9454545454545455),Lambda(variables[0]=1.9575757575757577),Lambda(variables[0]=1.9696969696969697),Lambda(variables[0]=1.981818181818182),Lambda(variables[0]=1.9939393939393941),Lambda(variables[0]=2.006060606060606),Lambda(variables[0]=2.0181818181818185),Lambda(variables[0]=2.0303030303030303),Lambda(variables[0]=2.0424242424242425),Lambda(variables[0]=2.0545454545454547),Lambda(variables[0]=2.066666666666667),Lambda(variables[0]=2.078787878787879),Lambda(variables[0]=2.090909090909091),Lambda(variables[0]=2.1030303030303035),Lambda(variables[0]=2.1151515151515152),Lambda(variables[0]=2.1272727272727274),Lambda(variables[0]=2.1393939393939396),Lambda(variables[0]=2.1515151515151514),Lambda(variables[0]=2.163636363636364),Lambda(variables[0]=2.175757575757576),Lambda(variables[0]=2.187878787878788),Lambda(variables[0]=2.2)
230.20917391005395,252.32588850021313,237.85980971266997,149.13391453169874,118.296042850058,199.1741243144368,119.8743292588222,66.31465190204375,166.98413274406394,47.559930060027746,149.0773221063548,34.92197953648805,82.55172603165215,49.15138669624368,42.666223676212645,37.067575490863874,41.10619210506439,38.277743491780164,32.186857155593664,27.340709396470423,21.810520524254038,34.593793448634074,25.761846623240793,31.105547978488342,24.97509937629716,29.692655874918014,17.64890156961781,15.264947229614947,21.91160074176897,18.540739148399986,9.4100601439347,12.83567151337897,15.179937115771411,12.290719381949762,24.07080597589519,19.835981783260902,17.99748762776506,26.91843896225097,12.772318458733652,10.691261657269187,15.320844668454354,14.10092517072872,8.559704658234061,8.330513973941915,15.032309683431361,10.734408124057136,20.59360322240302,10.431326191743427,9.134446298508864,7.610547919023541,11.446315112774988,5.052346166865129,6.2247259510374535,12.586573274606682,10.46560519501602,7.3570402714339584,8.678437248269624,10.018376074467916,7.1793550457464015,7.292511000506357,8.894203162946289,4.869919325753459,7.767719576380458,7.2390670291317125,6.733118118400381,6.246040730138982,5.776073047528969,5.321442135313778,4.8789430650316445,4.445168796806004,4.0144821249251175,3.5767237838191286,3.108197235679015,2.4261559050644936,2.517319215883716,2.355867370607829,2.5485777504270026,2.588027605384193,2.3881823231819252,2.4893186186451497,2.6311454505797816,2.3210507015176787,2.6878864606705255,2.5272666803943555,2.6356072847870142,2.5447540170625405,2.5821230006478193,2.385327650324808,2.4244949626858663,2.373296281105448,2.297547317300856,2.6257843140251906,2.5344790198803326,2.347551895246522,2.469721582964965,2.6285330949445265,2.4286622594764924,2.6145355242846087,2.3728567881839613,2.369854258822062
1299.3207577406913,1221.3693983904475,1150.0956778716113,1076.1147994625085,1010.9517715619971,955.5216409967401,899.5197513163866,847.9078712811793,798.6487710222426,756.2465884281439,714.380184936874,673.9004377124556,636.5035614135703,599.5466925644414,565.3621992831962,533.6692644095609,503.40166010651205,476.694216265936,450.6791010587894,426.3481723005105,403.92164245391524,382.7316329922559,362.7391485408341,343.6770752129054,325.4825181118436,308.82478617472066,292.63316203370323,277.0754856203977,261.80260996368327,247.97018307350362,235.21611350465926,223.07187970905878,211.83329384968158,200.73987192571593,190.96846481358298,180.8132028862768,171.82140993277682,162.9750820102898,154.2714379483388,146.52456591133728,139.25543357571993,132.07765765486513,125.27448321185805,118.81625984258132,112.91582966848226,107.4640736657564,101.93854472792893,96.76929967977904,91.93387317157247,87.25976114970068,82.89227767748064,78.76223054522401,74.75697540325085,71.03133261417705,67.5326679363305,64.07703677346817,60.69388799533338,57.7047739563207,54.753446748079476,51.85541874287692,49.41219157061504,46.84154681231129,44.315619473999234,41.94671193389041,39.64739358052041,37.54615123130592,35.527119174165435,33.578435376171036,31.862637735313474,30.211390993221297,28.489681583493862,26.871523459723363,25.237181727918,23.772929457148578,22.289993588076968,21.007893352578055,19.664067868013138,18.44201518122176,17.17186008854057,15.993283672637492,14.856958488785464,13.791797892383649,12.750770637515487,11.790667306983233,10.949435341537319,10.330190556554848,9.605064848054878,9.03279302932505,8.620778385476074,8.152538673353249,7.647825304877162,7.308959281888198,7.010077941022474,6.645986311616354,6.330171947450944,5.852553473421097,5.747086531372383,5.652080555544429,5.349951699485781,5.3320038685884
1422.070872926763,1334.911190776108,1254.7699132233458,1179.9731247816842,1109.3930723561257,1046.8674553760256,988.8020391130947,931.560268211682,876.7723511240408,826.0508249218097,779.564622519972,737.3503227220402,696.6383709571575,658.4684161158114,620.3114731180684,585.4432681133197,554.0177948492371,523.6164546355194,494.3045481093817,466.14923494399676,441.68267659997593,417.1249340775288,395.6128258493466,375.9461443503131,355.4317995655779,336.87106390140383,319.4502870269026,302.54299507734953,286.56795778949515,271.83304382569185,257.82777232989946,245.12149816322065,232.30202563496482,220.59121898377927,209.46293907085035,199.0114995250674,188.95836916608044,179.39903842683472,170.58396404262535,162.3298577819875,154.4937203398244,146.68924031449086,139.15104251681953,132.09490333268948,125.54606752402715,119.31211885097552,113.25894487104556,107.5601120836884,102.25800799131483,97.10103221476487,92.3586995002156,87.80669630295047,83.42605825338775,79.39920647154177,75.38188389751824,71.79228373495496,68.31450320625241,64.83290706393092,61.6081496930075,58.53135486334027,55.56217470989525,52.70068329199348,50.005040407819806,47.41261439723942,44.925714571138066,42.664562956739836,40.39303225205897,38.21646184103234,36.169177280469036,34.21500734215918,32.3930228442522,30.60393913535502,28.9457063599646,27.34850093532055,25.724374832149884,24.17321406256197,22.773505240106,21.332611003494684,19.93823010790303,18.631376870345107,17.355598867039827,16.153330115040383,15.01751267115308,13.98205844834476,12.990867952440876,12.160849312393493,11.372468628656542,10.782650391883827,10.092496521269918,9.553464644728082,9.04802187813761,8.572179729110983,8.292469820675928,7.733737482428423,7.505539769644441,6.983714644050509,6.818027974155143,6.672701990772261,6.318971423055117,6.083941717951143
1503.2967108512362,1414.5155650072568,1335.917568902972,1259.3743357443198,1183.177477891863,1114.1791056874597,1048.2427313961616,988.1267686748864,931.8070630114395,878.7487960142435,825.2196689329012,777.6654122597846,734.7880454459105,693.9664836601908,655.6294368268577,618.8895075741127,584.4526747853431,553.0165785202643,523.1689188524491,495.72125122865555,467.47964730506914,443.03664840845767,419.76146571297437,398.3396157337742,377.55173262451973,357.35538545473486,338.5777855343673,321.4192092628585,304.4166909228644,288.73719459761486,274.17186015927143,260.1080125293684,246.68879397580005,234.63327256094107,222.36801994516347,211.43972820935943,200.60241601166211,190.54337308402404,180.81802149730197,171.66677304894472,162.96510864970705,154.9944584723431,147.53116983891834,140.13924889176315,133.32949778115142,126.72710317672245,120.57670534767503,114.7384385146956,109.41429457222691,104.16040640449854,98.88580435281214,94.20061411380509,89.5181138865323,85.17271533567687,81.03780657813607,77.05287118141806,73.23107274499567,69.6420691502961,66.21637879830654,62.94989396198315,59.808303668608175,56.785894439372086,53.96505973172175,51.28939487876012,48.74208506313246,46.23119479034219,43.932147540682294,41.763261565314544,39.55176966138007,37.37900232119523,35.45350974851549,33.52855015324544,31.676348289365617,29.948494939038554,28.195413276951033,26.555329304836494,24.991406001774262,23.435430763646263,21.946481189949115,20.54687710126363,19.18298290238975,17.869270278802357,16.63041991564938,15.505433899288883,14.447574957473357,13.54159621818264,12.78065256788223,12.063371606657972,11.365278715890843,10.819465560013214,10.167040498067877,9.575541591262914,9.2264784553075,8.644022480334408,8.311742865631963,7.937398199039085,7.576907335799954,7.385266702777777,6.974415608799359,6.692463105523488
1578.605855188172,1485.6648911530256,1401.070199013672,1319.553676853156,1242.7247472204008,1167.073903970082,1096.946709205781,1033.8972894204483,975.0761656930674,918.7847917189317,864.4253336957366,814.0458082229271,770.944267521091,727.9349003013422,688.9290848230534,651.149451181213,615.9433205015921,581.8659921213524,550.5325293150032,520.1487418055434,492.9756886352117,465.928338919128,441.4445470843824,418.1847125734264,396.7364578970995,375.61279192787924,355.91076362443545,337.57292816576165,319.98365311122717,303.4905971976626,288.13977965127475,273.23441293121164,259.58156118745364,246.59975460602072,233.84817436990062,222.36848131981452,211.4742550108308,200.73233558427617,190.52662247676406,180.75582643962275,171.98700145523893,163.65465455470004,155.4900067813138,148.1180874562146,140.76105428628932,133.98325795581357,127.19263329203397,120.88135198787745,115.21818700091478,109.54854689377206,104.26201656513089,99.17859468515795,94.27036394996118,89.64586027721603,85.26374101917854,81.31948434925783,77.43771035267937,73.63131648415556,70.10563678321138,66.66761679099282,63.41993443899897,60.23849808526881,57.26924756550462,54.39052817135672,51.757681120832935,49.140818787380844,46.604671706837294,44.22151015626052,41.97338046711862,39.88041971884047,37.75889876694569,35.798214363325854,33.91769726809645,32.14196390141539,30.409142314595798,28.606962114937627,26.85603085892506,25.193605726210105,23.563943445823345,22.126315650257958,20.6680855705985,19.23297261424764,17.88028826207822,16.700677890941535,15.591791576857124,14.58488175002795,13.7706017723963,12.976048306814908,12.246238292582593,11.660141702644431,11.040780966089406,10.432829837496035,10.044389139931479,9.4864389591708,9.104755430587028,8.638241089414308,8.21616673277006,7.957397835149356,7.567096064478271,7.2901264604679925
1657.0369151391587,1554.241445088903,1459.8845929541421,1370.2046076480403,1288.7475578256208,1214.6358585523517,1143.2985687017294,1075.2383179046878,1011.8513692879608,952.3305352335725,898.6900550843311,849.7237619142008,801.8468802559307,758.9899949287824,715.8387563525279,676.3503335210013,638.6091909904004,604.3966353854863,570.9640755759593,540.3344814868789,512.0886167912471,485.1246889913424,459.4986366062317,435.0608029988792,412.4773812608325,391.4823189013482,370.66404740256525,351.06762103328526,334.20976459667054,317.77910725984975,301.5681105788664,286.1260637586808,271.43359247077717,257.4574885423798,244.87563336254462,232.64102276600153,221.08048495756336,210.15156147773328,200.0343829492012,190.2209124261724,180.69189364084951,171.88940201573644,163.50211177355996,155.46674158744017,147.78778932358256,140.94088515298552,134.08437541469064,127.7402652655217,121.39498480990606,115.38812061087161,110.02551520279091,104.70444322545461,99.61935614032305,94.65238366285568,90.04095324640203,85.72794094197126,81.58783725313954,77.57657033941506,73.89152633239641,70.26373994344765,66.96259121693272,63.701920463077435,60.60864226453374,57.62636684422698,54.626658217557235,51.94501512300377,49.27200057906771,46.73263972400886,44.29722637565527,42.062448562831186,39.87276698670904,37.74350789528361,35.6791164692609,33.721210630271074,31.896372045008693,30.106494386746025,28.368548590820453,26.710528861096076,25.160656289525246,23.544982027554287,22.009615673852785,20.511955975210014,19.093646208971077,17.872297783492005,16.68945129094865,15.58978412775147,14.728158482498154,13.943839566145304,13.137291641474711,12.511044732991257,11.842137092130745,11.180191202867324,10.715916915524845,10.135895567088236,9.640554671547692,9.132879445056666,8.796178168142179,8.504885734762663,8.065602864310195,7.731529907066492
1715.4054163009273,1612.8877016597226,1520.809854897571,1426.7697871319092,1339.0113686905431,1259.54365201861,1186.4361451586976,1118.0613751073263,1052.8065582035726,991.549039739507,933.2025066293478,883.4539160497277,832.777987933169,786.5058386745878,742.8420292529084,701.1996353664555,663.0471263726583,626.0251603273983,592.4392684513595,561.719932514565,533.1842279232983,505.5276229120243,478.4754501718917,454.0744488112825,430.402015342365,408.7338353207924,386.78719968197254,367.3544690373624,348.2296335574151,330.6088605896779,313.78198928436706,297.3888001821991,282.43914245886646,268.6645202123482,255.54573150642256,242.8591874227295,230.84970366263664,219.51148431552872,208.69638009149224,198.46479566379736,189.039505198261,180.0074778069041,171.38764170518368,163.0425791750812,155.1559318821816,147.77636253318903,140.3155550642403,133.37132178020758,126.96511689633894,120.93016770091816,114.9762611174955,109.49963173048923,104.16553259193965,99.10589705566193,94.32769593727632,89.86247453965451,85.5296651887179,81.43044275866579,77.4779161183281,73.73899413613431,70.13739788020257,66.78543713353002,63.536094561054085,60.3989610669923,57.34035078706927,54.57476125264401,51.826749194102554,49.205369305778184,46.71297476118715,44.26621681610988,41.970710965928824,39.70736821464005,37.60606456744904,35.44396225570217,33.48008282068912,31.63641600900714,29.79510731499371,28.004564258224214,26.23770908489302,24.580275079962878,23.042464985786516,21.610322228881568,20.14786551399002,18.815547628886954,17.529615656747346,16.424061809735385,15.530744697245394,14.689102122515337,13.85546800758605,13.222883453754692,12.503656835601145,11.881068401986067,11.296512056359786,10.67032437105752,10.21248646713157,9.705659153235715,9.366787537649612,8.992115508057687,8.572362509467096,8.276726927046525
1780.4353569242421,1670.6677938475657,1568.7810046687068,1474.155632512278,1386.6728691034145,1304.6708770436578,1227.3678193749242,1155.836450623552,1089.9326274776568,1025.9085413943963,966.783689593602,910.6186126338512,861.255117706355,812.9858022318939,767.0364931666882,726.7751993547466,686.7695959152769,649.745742126845,614.4477257897358,581.6293047386624,550.1929357999707,521.050691190804,494.1459210047556,468.99007479131024,444.6854149547601,421.34004319157685,399.6163707710879,379.8421106049066,360.13692814594714,341.7059955476177,324.8784419472464,308.58080351964776,293.1205012235046,278.64216578373225,264.83068786979993,252.04327674192695,239.56408348611376,227.89650091293467,217.1124030220445,206.38261832083563,196.3845608444464,186.7713645618008,177.6857653500009,169.11534504171559,160.91114145611024,153.24112783897914,145.80323643565998,138.74092636293403,132.31500493713548,126.20614158040362,120.18134564170003,114.43319488628488,109.02729509075417,103.7376504311915,98.7833351696731,94.05442733407945,89.52885671253593,85.2700526898704,81.09816928308113,77.21777022286585,73.46080271784191,69.81396989138948,66.3547051609229,63.12254414655888,59.91146873499347,56.96926771095856,54.08797990438465,51.318035842987705,48.82742502132527,46.26954105489868,43.78652051213117,41.474999871180735,39.20752082132565,37.070386820896985,35.07021494287845,33.01600678084304,31.04709063835921,29.20935670850492,27.375351806122723,25.66554992444001,24.044736340686264,22.478027773181548,21.022604288965322,19.616624671496147,18.32001101117192,17.198751777256724,16.296499607391954,15.439035715719013,14.534402924941869,13.787913461254192,13.11588906293521,12.439258448992508,11.766455863557313,11.243142584347778,10.762022151250772,10.27603790195385,9.850537873167216,9.471736916591615,8.985864289982496,8.714981816186851
1835.1807448010125,1721.3804843981902,1619.5675440216762,1521.8227241666152,1430.0122752352586,1345.4851797010424,1267.1513285304222,1191.3437285261414,1119.4197080826455,1055.7893007543191,997.6945500551409,942.2780648146617,889.7676452398766,839.5116825070754,793.795496209267,750.4031570662686,709.846640623386,671.5171787534099,635.3100715641472,600.8830389253569,569.3554772751532,539.5831353749414,510.2039217624488,483.4701172583811,458.8011359654351,434.8750091954883,412.8392179330932,391.99899654281427,371.5009324595742,352.67740530862574,335.18043453218814,318.4760611657815,302.91006698927345,287.8945306661475,273.77487943436626,260.9488356601538,248.0292023723618,235.79643728307772,224.2624917634685,213.551088537396,203.18165806994134,193.53043790221977,184.31772809411825,175.66646286803166,167.18587228321638,159.02443641718747,151.39978633023264,144.26259939986193,137.3628346362182,130.84271850377638,124.78842543808612,118.87742669637663,113.143867947832,107.74095765287177,102.64954425229003,97.86383203348183,93.19656976205742,88.72736383287227,84.44138215964372,80.2547978829019,76.34554412356438,72.58083486287089,68.95528778685853,65.58292038852304,62.31908975487981,59.132327061968844,56.236557674611056,53.357142124674695,50.53408855213481,47.875720066502,45.4187700630463,43.027424869914256,40.76287313327438,38.593173703766915,36.44043397241738,34.39556091674232,32.36587070484397,30.464335156119446,28.569975313064106,26.761564843349138,24.969524648244235,23.27659533508576,21.757083797342407,20.36293059076334,19.108336145138342,17.983614654874938,17.06895959143013,16.10688768012248,15.176774467328212,14.408073917283202,13.691528700383468,12.988625870012106,12.224789317522255,11.827319171085595,11.302220291890187,10.829267644075305,10.301067659193322,9.875615703950544,9.407292813520158,9.142960253528253
1890.99983871311,1772.8628991502908,1668.5169382891445,1567.1306731093885,1472.9856898790638,1385.4358861324488,1306.756474778682,1229.3645809683546,1158.5395570958453,1092.2880121305216,1030.389220793622,972.2471830348137,917.9286896912613,866.9486127694133,819.4913006991471,774.0176303123537,732.4626595103682,691.929413500865,655.2741289200846,620.3517083574799,588.1342322192809,557.7156714686034,527.7013665896048,499.28331516003846,473.1552130607878,449.1566584543218,426.1244120152613,404.82553779666404,384.18341376747526,365.0536961640658,346.5382137180726,328.97407246064097,312.7739932028297,297.50877920407976,283.4029953023468,269.5441932609471,255.83516099231556,243.77341949482388,232.0472877478399,220.888986241412,210.0919370135412,200.26024809474012,190.66243711425642,181.69876422242385,173.11466655269126,165.09393342268453,157.33747539242654,149.85550679864946,142.4429260482502,135.76660712851165,129.4819632193196,123.24112007766784,117.31226116239651,111.72757526584238,106.42339850085061,101.34162969692105,96.3426315297585,91.64570297547351,87.2586902099694,82.96605957004967,78.95496221757779,75.18561703873068,71.54303719778807,67.9757125757531,64.67196242372803,61.39876229034452,58.26639900878538,55.27801611396189,52.45327967798606,49.66332087795847,47.12169896393892,44.567903740867195,42.150379805480384,39.80697692662729,37.727211450383244,35.55249399751761,33.47859537307545,31.49631040223081,29.570303497902955,27.710322235696307,25.94848256903217,24.23509083787788,22.643298579693752,21.19896384283755,19.84562452535019,18.64383737862112,17.630652350927694,16.636732619735223,15.720443852555773,14.919073353027846,14.211220732581715,13.49923722579705,12.752903724540205,12.367221090950766,11.764771254969009,11.27986328791049,10.776229933376433,10.30945572304614,9.84256100619845,9.54286908007355
