Lambda(variables[0]=1.0),Lambda(variables[0]=1.0121212121212122),Lambda(variables[0]=1.0242424242424242),Lambda(variables[0]=1.0363636363636364),Lambda(variables[0]=1.0484848484848486),Lambda(variables[0]=1.0606060606060606),Lambda(variables[0]=1.0727272727272728),Lambda(variables[0]=1.084848484848485),Lambda(variables[0]=1.096969696969697),Lambda(variables[0]=1.1090909090909091),Lambda(variables[0]=1.1212121212121213),Lambda(variables[0]=1.1333333333333333),Lambda(variables[0]=1.1454545454545455),Lambda(variables[0]=1.1575757575757577),Lambda(variables[0]=1.1696969696969697),Lambda(variables[0]=1.1818181818181819),Lambda(variables[0]=1.1939393939393939),Lambda(variables[0]=1.206060606060606),Lambda(variables[0]=1.2181818181818183),Lambda(variables[0]=1.2303030303030305),Lambda(variables[0]=1.2424242424242424),Lambda(variables[0]=1.2545454545454546),Lambda(variables[0]=1.2666666666666666),Lambda(variables[0]=1.2787878787878788),Lambda(variables[0]=1.290909090909091),Lambda(variables[0]=1.3030303030303032),Lambda(variables[0]=1.3151515151515152),Lambda(variables[0]=1.3272727272727274),Lambda(variables[0]=1.3393939393939394),Lambda(variables[0]=1.3515151515151516),Lambda(variables[0]=1.3636363636363638),Lambda(variables[0]=1.3757575757575757),Lambda(variables[0]=1.387878787878788),Lambda(variables[0]=1.4000000000000001),Lambda(variables[0]=1.412121212121212),Lambda(variables[0]=1.4242424242424243),Lambda(variables[0]=1.4363636363636365),Lambda(variables[0]=1.4484848484848485),Lambda(variables[0]=1.4606060606060607),Lambda(variables[0]=1.4727272727272727),Lambda(variables[0]=1.4848484848484849),Lambda(variables[0]=1.496969696969697),Lambda(variables[0]=1.5090909090909093),Lambda(variables[0]=1.5212121212121212),Lambda(variables[0]=1.5333333333333334),Lambda(variables[0]=1.5454545454545454),Lambda(variables[0]=1.5575757575757576),Lambda(variables[0]=1.5696969696969698),Lambda(variables[0]=1.581818181818182),Lambda(variables[0]=1.593939393939394),Lambda(variables[0]=1.6060606060606062),Lambda(variables[0]=1.6181818181818182),Lambda(variables[0]=1.6303030303030304),Lambda(variables[0]=1.6424242424242426),Lambda(variables[0]=1.6545454545454548),Lambda(variables[0]=1.6666666666666667),Lambda(variables[0]=1.678787878787879),Lambda(variables[0]=1.690909090909091),Lambda(variables[0]=1.7030303030303031),Lambda(variables[0]=1.7151515151515153),Lambda(variables[0]=1.7272727272727275),Lambda(variables[0]=1.7393939393939395),Lambda(variables[0]=1.7515151515151515),Lambda(variables[0]=1.7636363636363637),Lambda(variables[0]=1.7757575757575759),Lambda(variables[0]=1.787878787878788),Lambda(variables[0]=1.8000000000000003),Lambda(variables[0]=1.8121212121212122),Lambda(variables[0]=1.8242424242424242),Lambda(variables[0]=1.8363636363636364),Lambda(variables[0]=1.8484848484848486),Lambda(variables[0]=1.8606060606060608),Lambda(variables[0]=1.8727272727272728),Lambda(variables[0]=1.884848484848485),Lambda(variables[0]=1.896969696969697),Lambda(variables[0]=1.9090909090909092),Lambda(variables[0]=1.9212121212121214),Lambda(variables[0]=1.9333333333333336),Lambda(variables[0]=1.9454545454545455),Lambda(variables[0]=1.9575757575757577),Lambda(variables[0]=1.9696969696969697),Lambda(variables[0]=1.981818181818182),Lambda(variables[0]=1.9939393939393941),Lambda(variables[0]=2.006060606060606),Lambda(variables[0]=2.0181818181818185),Lambda(variables[0]=2.0303030303030303),Lambda(variables[0]=2.0424242424242425),Lambda(variables[0]=2.0545454545454547),Lambda(variables[0]=2.066666666666667),Lambda(variables[0]=2.078787878787879),Lambda(variables[0]=2.090909090909091),Lambda(variables[0]=2.1030303030303035),Lambda(variables[0]=2.1151515151515152),Lambda(variables[0]=2.1272727272727274),Lambda(variables[0]=2.1393939393939396),Lambda(variables[0]=2.1515151515151514),Lambda(variables[0]=2.163636363636364),Lambda(variables[0]=2.175757575757576),Lambda(variables[0]=2.187878787878788),Lambda(variables[0]=2.2)
230.20917391005395,200.97321658291986,237.85980971266997,149.13391453169874,133.7710708040561,97.11838560556576,154.42058498453068,66.31465190204375,55.94163448628964,47.559930060027746,40.66773714027623,65.78220527512005,133.1216606280717,49.15138669624368,42.666223676212645,37.067575490863874,32.08609341571408,35.0564639307155,29.95903713966559,35.945709575875675,23.171924139021314,19.602872971832955,25.761846623240793,32.48133661070262,23.38093537725107,20.229586065457063,17.64890156961781,15.264947229614947,13.131275068858226,11.195172977947161,9.4100601439347,18.418220841175007,22.833761509163452,12.290719381949762,24.07080597589519,19.835981783260902,16.49670309344602,15.177040464825126,12.772318458733652,10.691261657269187,8.857581979817878,7.346977019540249,8.559704658234061,8.330513973941915,15.910874890292709,10.734408124057136,12.057669136660175,7.944179756798015,8.961843851750967,7.610547919023541,12.415006680216608,7.431322287751509,12.289646811261925,12.586573274606682,10.46560519501602,12.19828170970044,11.473810131789362,10.681523100661437,10.1240953890801,7.292511000506357,8.468737061606816,4.869919325753459,7.767719576380458,7.2390670291317125,6.733118118400381,6.246040730138982,5.776073047528969,5.321442135313778,4.8789430650316445,4.445168796806004,4.0144821249251175,3.5767237838191286,3.108197235679015,2.4261559050644936,2.517319215883716,2.355867370607829,2.5485777504270026,2.588027605384193,2.3881823231819252,2.4893186186451497,2.6311454505797816,2.3210507015176787,2.6878864606705255,2.5272666803943555,2.6356072847870142,2.5447540170625405,2.5821230006478193,2.385327650324808,2.4244949626858663,2.373296281105448,2.297547317300856,2.6257843140251906,2.5344790198803326,2.347551895246522,2.469721582964965,2.6285330949445265,2.4286622594764924,2.6145355242846087,2.3728567881839613,2.369854258822062
1454.3157845976557,1371.2365910177093,1285.9950073414677,1205.99594778628,1143.6585354024744,1082.0669747147886,1020.32164883072,964.747276181817,905.499402498284,854.112155991492,805.4372462170533,762.1355901819558,718.7074372558129,682.4209636578717,646.2991284196306,611.1705668161607,578.9240550696002,546.481406448458,516.7115214945703,489.7912085089084,464.7744313055258,440.15539542460385,418.0368507902676,396.326842149145,376.2026155069783,356.5061716283989,337.51628596452014,321.136060764198,304.54288093685847,289.83145542358903,274.7188749462396,261.44350598604365,247.60065679525076,236.3793651727748,225.91163333295594,215.08828520279428,204.05782056719548,194.5655065695107,184.87231211118092,175.63479758981,166.6857984461562,158.35189437182973,150.25500141246107,142.5441804511228,136.00422695575455,129.20120620734244,122.94133154268259,116.90002887318187,110.95775524412267,105.82618929193511,100.58225378636769,95.89275699861714,91.28190009231878,86.94923123926988,82.65376131338397,78.520361182481,74.77295512786866,70.95792068060034,67.51727490086483,64.29525124739496,60.97896579194002,57.96752684471313,54.93250308826463,52.4213819120965,49.83856695559537,47.27454919617787,44.8300285797446,42.48700633197684,40.233177264437245,38.01207877617059,36.0048371865212,34.03465798128397,32.15613492098429,30.355484112430712,28.741393880460052,27.01360066011034,25.272966331846703,23.547163499740766,22.00870459424202,20.330197918214488,18.901834451053954,17.528367160786676,16.192404724823835,15.256942772576988,14.213583317359896,13.502186839740132,12.956007867591925,12.41891843794619,11.73092390816777,11.460770396790545,11.077103232991805,10.67526199152526,10.418173253282498,10.20195506386171,9.767030473058725,9.64664879873296,9.230033170738364,8.940058517509874,8.684848407232423,8.586115104373919
1592.8430360822251,1498.2195353521442,1412.8803570506475,1325.9915942055222,1254.4608252937949,1180.1012901759304,1113.6552189498636,1048.1457371186082,990.9118158517251,934.4021056065529,886.3156666119153,835.416387094845,789.9025871489976,747.8180150368561,706.233334172587,667.8159593478135,633.6979041657062,601.1833799889426,568.4240367101002,539.2102326981799,510.5901872288994,483.6855764809776,458.18948607524396,434.7104961123071,412.27685490647207,393.4464139711427,372.100866885954,352.0350917665751,334.2926908044314,318.5722094233683,302.8616725729021,287.7989923820255,273.36952963174485,260.4339237728744,246.83532183855593,234.7023315889707,223.01082245065103,212.09551578526208,202.26171272163893,192.5854070342984,183.4303114152265,174.47374730713568,165.75044691085685,157.70207380734524,150.01986874687526,142.8153084461996,136.1705312714686,129.63288045679255,123.30506109375776,117.37904316591845,111.8831230426649,107.00441002564398,101.65931559834537,97.00045873453367,92.31842852102214,87.80893835756444,83.79454104127008,80.3769987897345,76.58422805727179,72.86752521235061,69.28977652708282,65.83409882497472,62.639732299261844,59.58301822954637,56.675205576214275,53.914932300046836,51.17479013596648,48.56227385964876,46.18648131973683,43.713490593601,41.294171920263274,38.971860890159974,36.89547809752482,34.772722276334605,32.68185458061575,30.661831703845813,28.85406918975785,27.02554686319211,25.21987147490909,23.43741511897938,21.747260550941238,20.203966616479256,18.778472384501118,17.67280225437856,16.466228125586884,15.541583586087286,14.861285683450905,14.277733799778163,13.684377669704597,13.317866048808522,12.888495656988715,12.401629093270383,11.858026359878,11.743282842749432,11.233595026606887,11.038088453600107,10.628485859578916,10.293418863878852,10.161207328104444,9.826962550522948
1707.859571699069,1609.6357800250557,1518.6496029510015,1428.005258170713,1344.2361440268762,1266.7735864060887,1195.7747963921333,1130.693615430707,1066.0229239624887,1003.6348032911736,948.9759042222531,895.8523825148447,846.5240443479822,802.9435500363837,760.6409521254272,720.2765194769992,682.272142034989,642.1280813197184,606.1522774211967,573.7040946814404,545.4714541886616,517.2490617251742,491.45241661576597,466.26130565922927,442.6849421581455,419.7659103086793,397.47394260409413,378.71114119333316,359.69482284118556,341.7056402032674,324.9385271712386,308.8216803788858,294.21748335310485,279.8454262793017,266.14404476610787,253.15836995040686,241.1053870846037,229.48731622140764,218.42156255115682,208.18870533445843,198.2806648370211,188.78981717737148,179.53522572415426,170.8595212499532,163.17050069267506,155.23943880828352,147.912404565076,141.26141558311926,134.67724447447952,128.44336828938165,122.59226605145214,116.6504563065879,111.20650356383467,105.72844959395213,100.69863862146133,96.01475212244442,91.45993476896845,86.94359778861039,82.84825555195955,79.03332874443285,75.21547422924854,71.47775938699806,67.85988262877943,64.61391156674246,61.31072700035147,58.18729054241872,55.19753068183349,52.494747248857784,49.8511023523905,47.26885393795475,44.97923951980738,42.5573382127829,40.23244584259937,38.026442714654166,35.84313078677222,33.6230183296695,31.678301523796826,29.59903176538235,27.527809535052693,25.635084853634286,23.837899953253597,22.161033163968252,20.565782158977274,19.24746576161201,17.919169797764454,16.948949870536325,16.337718640597693,15.682037105227659,14.98305555319168,14.55745445794948,14.049318020633091,13.492130168494604,12.945049129084836,12.727547231925481,12.26137702051119,11.927441613883484,11.405777695605211,11.100106371689085,11.029107602887539,10.761588723990052
1802.1473176575716,1696.9898858916247,1596.1273050455272,1502.1797360952853,1419.048748205635,1337.983864497574,1263.015088381928,1192.5224368522966,1119.551244214563,1057.2229972172377,1000.2774683881513,945.8466937418204,893.3948319409739,845.35519123292,796.8400200368873,753.324879980233,713.9461288836299,676.304406763383,639.6125246579046,607.1288118516987,575.2558432479781,546.431737396853,518.6645201443015,492.5493743384977,468.93631741383444,445.3698121472568,421.82383540809263,400.4009234734042,380.2134574039681,360.84990055702247,342.58941765373424,326.72228822400086,310.84739580468926,296.4268509050207,282.39295419746145,269.0886824722041,255.70431476917733,243.61526034898546,231.89463381152274,220.7527299038329,210.1352854175718,200.26086714424454,191.03546236075357,181.8996589784572,173.30134225419556,165.09670723122218,157.2231577876769,149.9422377912206,142.871440875053,136.08799214353954,129.75706218914777,123.63902853235378,117.83955359785513,112.24517197607311,107.15807711545948,102.21108654758855,97.46909836495966,92.77331046188313,88.20707061445005,83.9841280628935,79.99371857810172,76.1479576189962,72.37917488889823,68.9245053155618,65.49998100812216,62.191867671787655,58.97650769726685,55.89309415965089,52.938778559903575,50.325070186871194,47.77296998404108,45.06906323780969,42.58231508422843,40.188880560515855,37.88919726136325,35.82935290169412,33.57467263741945,31.487739406645396,29.37467365186021,27.443775060856474,25.536366217777445,23.69904145816186,22.024012380879224,20.511775940868198,19.21926755008652,18.278485340478472,17.476346609105068,16.63292921826169,16.01796885470341,15.315103228969493,14.991814848314679,14.312986631920305,13.800786454287634,13.563443342414535,12.926376236751636,12.628660500944525,12.153090482585318,12.099684268770359,11.669396955814316,11.379751971593457
1880.5437909685684,1768.4053326771696,1668.538768899136,1574.8875844415245,1481.2375187613675,1394.950299840882,1316.166126901273,1245.4407949771207,1175.5891730086607,1108.8089938060955,1045.4591942516981,988.9684100025887,934.2590405083956,883.7772984666647,837.2813875610995,793.6291169348923,752.937614470363,714.0066839541208,675.3778521616987,640.3150568344491,608.1945857509745,574.3639656163582,544.0937296438576,515.7639537453282,490.85353873328194,466.41165506503734,443.1890240733495,421.47184792013724,401.1189142254025,380.80187274799044,362.0568257749854,344.6266153715744,327.68754019012505,311.66440828225905,296.37949323151224,281.8292462620141,268.39232743420604,255.408934653433,243.27691819274727,231.7895898946316,220.8210756586648,210.54518463605334,200.65222754232187,191.06755951365227,181.79026567811627,173.27621720324328,165.16008769682892,157.5164232033779,150.13015906493692,143.11115581721887,136.49850545889467,130.19762948447934,124.04001634889917,118.380116877214,112.9343119731073,107.59817246945917,102.41838231104394,97.59762971838153,93.12142733914938,88.54006363299472,84.01753796975082,79.89882884926634,76.01549613015787,72.35907264127657,68.8501324306927,65.45152635430463,61.97746917020682,58.909130270222306,55.779134105148344,52.92340571186428,50.18630421618039,47.28867411716716,44.732084168907534,42.11316283679188,39.683238154858934,37.442793604521796,35.12736272181767,33.04339747146214,31.00259995674791,28.982102697239625,26.905657438812995,25.119266638079658,23.30202034903795,21.782848801172882,20.348340642108397,19.284411232826464,18.29094418375941,17.40069465247631,16.93814894253214,16.20652739619607,15.671392063304122,15.069215643210763,14.543816624116628,14.290843248358648,13.574371677023569,13.282256151086298,12.85227611343651,12.76695279065418,12.462749187775577,12.097331147245598
1970.1812303882186,1852.8256824633893,1747.26598597062,1644.7459315612605,1554.1762209662638,1463.982213979973,1379.145975943455,1299.5656967196228,1222.6098118252926,1157.054897129802,1095.9547076959147,1037.7678498680016,978.98131747019,923.9712234767451,874.9669536810723,828.371112285173,786.3091763468594,745.050213663921,705.0466343753254,670.8650484366071,634.7767882064473,601.8108342932619,571.6360854286498,543.5335417484748,516.2810965521475,491.10037749604453,464.74981296704027,442.2251912950618,419.5761309266683,398.4308694785621,378.63367946085066,360.30173365201944,343.20498912284074,326.72458527475226,310.75559151262445,295.94405484189997,281.3473740032757,268.2318940930412,255.66616812453137,243.32035771823942,231.64818442704004,220.51004124094595,209.76292687310467,199.87447590643663,190.45952911588478,181.68768621912878,173.07652837242847,165.0517964735623,157.204719069034,149.68803223146992,142.53032456730958,135.66957435658563,128.9919257056703,122.97439278612013,117.1986363887237,111.64937754100757,106.34925663836142,101.21458244802845,96.49280709596823,92.19430756227722,87.67821525866403,83.52788873829205,79.43164297121292,75.52935148569354,71.92945306493228,68.32053597898084,64.78300394848452,61.54728614038317,58.46544775144406,55.48080116521515,52.508593987672924,49.62759841367444,46.80896624231988,44.27553139771502,41.672763683336974,39.149508149176356,36.74794823279887,34.39993152085213,32.223637733590785,30.199635877155433,28.1494673521055,26.22787572900903,24.38889052151721,22.847279559946788,21.325371610248844,20.099218525820067,19.143609377960754,18.298116589731286,17.713750139939158,16.860612783010744,16.332099896837303,15.677026967372868,15.213592006969805,14.912848689342228,14.229547482637374,13.865346229096424,13.577899412255592,13.442541915339675,12.885360651223433,12.62914715487489
2038.415215611148,1921.0120646212713,1813.7008452116452,1708.3567442145052,1610.2639372199951,1520.9270308553084,1431.092332820682,1351.1932017076726,1273.05351241932,1207.3079804980975,1139.5621590943792,1075.8200020741983,1018.9309598777978,964.6486173002882,913.3310148878453,864.1058844772542,819.0718309949942,776.734067270604,737.088474472761,699.103490142347,663.3580379929656,629.677336934174,596.0681917712403,565.7997100592482,536.5298377873504,510.38203275244865,484.97185789759425,461.7991495964522,438.51367680185115,417.4172213116587,396.3866363907928,376.33139285075356,357.72838252259913,340.3295311008643,323.68642109927816,308.2031382431906,293.3029207296645,279.15068929174487,265.84967851090346,253.13431199826047,241.03563287629254,229.6891993217332,218.52212881686572,208.0009136595131,198.3511704434914,188.9592640450058,180.05158822577158,171.68311880915428,163.60178147227253,155.87027190675585,148.16068644646938,141.30482668691064,134.58594486857734,128.01770423813753,122.12452234770713,116.38216954757313,110.66767797975838,105.53722546635306,100.3953163435376,95.60262805083043,90.88218943326254,86.36172740368579,82.15611679660101,78.20279715128056,74.56466195577296,70.9305385061119,67.39375257989603,63.87333232869326,60.58018000436811,57.3301873346201,54.388411252109826,51.53769783108109,48.693017176872964,45.896010811001666,43.324827572720025,40.7675754501082,38.33842539369258,35.836969445637465,33.465723459594145,31.22793542243263,29.09001635799761,27.155112417896515,25.335586687891237,23.708433875506405,22.12646857753238,20.92605543719583,19.807108369152285,19.031195494792776,18.215627445257734,17.400502346571454,17.067185624641144,16.34285914044851,15.987999132139883,15.504490295460693,14.772468341302275,14.467052670692436,14.126387680486879,13.877861671824338,13.355266766481488,13.153615578024704
2111.282839323204,1989.5723644331981,1881.6889418493165,1771.3165729514837,1670.944129332574,1568.8521607446344,1479.3879120057904,1397.6589223422268,1322.870622622198,1246.1090585038696,1178.951639697458,1112.9278972738143,1053.81895767382,998.2271601915439,943.8162979037814,895.3118212987873,848.9036762287548,804.9701150981841,763.1456190801547,723.4619834356863,686.3903011992627,651.1375067424697,617.2148120924421,585.5948860608348,557.0114839180791,529.5612925536872,503.4114814107084,478.1250367005881,454.4688982613596,431.4430261979349,411.0038314270686,391.0020021639835,371.7796645513706,353.7420101345411,336.20677836528097,320.5096245992455,304.85748027376775,290.4260486221017,276.8372855718171,263.5199164876271,251.0650835706972,238.60555612332107,227.34868505212427,216.65110032709026,206.2075745336933,196.58266616796044,187.38046464425474,178.59176934765475,169.99359737713655,162.10568005574075,154.49989911062178,147.1952164227179,140.03900344052602,133.23953083754313,126.73901358754833,120.82055214426539,114.82070415676205,109.35352519340313,104.00830593984212,98.94593133443419,94.15953406135881,89.54615919563737,85.00260009654448,80.68122251090986,76.63231700830961,72.93028339127606,69.20831391708815,65.62081679092353,62.348238425142675,59.09721621310474,56.02551565303294,52.94659432741086,50.088485480938985,47.379729993933616,44.654224432566174,42.042074336200876,39.57964219742444,37.12081372168267,34.84354181290817,32.389457868566524,30.071374181988322,27.98458160709712,26.22085507734424,24.460169849902478,22.855712981215078,21.605270045942195,20.580018718141734,19.668734754474485,18.858443809183946,18.08663918887325,17.63566305533179,16.926025988469465,16.487022972861965,15.912299094634736,15.306747299538928,14.990796914542184,14.615233492589514,14.352692883376031,13.848354468691973,13.542833357377992
2182.045572637002,2051.452542869934,1930.0553461658747,1816.959420596386,1713.4560048413675,1617.0451857475912,1524.9364388605586,1441.3304145161324,1360.3814605282707,1284.1528794285541,1214.6036032689963,1150.3064603244727,1089.39921800666,1029.5541230787371,973.9507512222849,923.4782995028014,873.8686807474536,827.2678662353641,784.8393525622806,746.0028319028804,707.666218127408,671.415370867831,637.6102151865143,605.670462387796,575.0333969200714,546.5287474484628,518.9814111808134,492.7206651503406,467.3532896574588,445.3220423299316,424.4194068423079,404.62501498370034,384.8744979341693,365.55052800008275,348.3898696609607,331.8289014016252,316.2367430293372,301.50243795457135,287.45996138602925,273.3512813936824,260.50028214019284,248.26918768892074,236.94163452919753,225.35025926589796,214.6535496817222,204.2205443071163,194.69851360763337,185.2912137875786,176.39292034202552,167.92322887767295,159.8097046376154,152.1312762569897,144.89481346293076,137.92691220648211,131.27678741600926,125.06350865066105,118.7807605764225,113.2068999101353,107.68624263675653,102.3950354324208,97.3532980651152,92.40078351326993,87.71814185597134,83.27839895486896,79.1227240964912,75.01740157008284,71.09929458606078,67.45272120558134,64.01709293888335,60.70063209822413,57.45353969728161,54.424472877181366,51.3887073388864,48.52470743005656,45.8229222576565,43.22326326070845,40.58298868139645,38.137810852268736,35.7480677100362,33.412059607034784,31.12828836671293,28.972448175101768,26.927076606642313,25.201477697017097,23.588683296796578,22.25365617781392,21.18578426425344,20.279379804661104,19.486732711039487,18.63432798571606,18.181800597938793,17.490834223689365,17.038739269408044,16.349397476813635,15.765155627630365,15.377571200063668,15.05133849004692,14.714316557723086,14.290227286413026,13.961251050839047
