Lambda(variables[0]=1.0),Lambda(variables[0]=1.0121212121212122),Lambda(variables[0]=1.0242424242424242),Lambda(variables[0]=1.0363636363636364),Lambda(variables[0]=1.0484848484848486),Lambda(variables[0]=1.0606060606060606),Lambda(variables[0]=1.0727272727272728),Lambda(variables[0]=1.084848484848485),Lambda(variables[0]=1.096969696969697),Lambda(variables[0]=1.1090909090909091),Lambda(variables[0]=1.1212121212121213),Lambda(variables[0]=1.1333333333333333),Lambda(variables[0]=1.1454545454545455),Lambda(variables[0]=1.1575757575757577),Lambda(variables[0]=1.1696969696969697),Lambda(variables[0]=1.1818181818181819),Lambda(variables[0]=1.1939393939393939),Lambda(variables[0]=1.206060606060606),Lambda(variables[0]=1.2181818181818183),Lambda(variables[0]=1.2303030303030305),Lambda(variables[0]=1.2424242424242424),Lambda(variables[0]=1.2545454545454546),Lambda(variables[0]=1.2666666666666666),Lambda(variables[0]=1.2787878787878788),Lambda(variables[0]=1.290909090909091),Lambda(variables[0]=1.3030303030303032),Lambda(variables[0]=1.3151515151515152),Lambda(variables[0]=1.3272727272727274),Lambda(variables[0]=1.3393939393939394),Lambda(variables[0]=1.3515151515151516),Lambda(variables[0]=1.3636363636363638),Lambda(variables[0]=1.3757575757575757),Lambda(variables[0]=1.387878787878788),Lambda(variables[0]=1.4000000000000001),Lambda(variables[0]=1.412121212121212),Lambda(variables[0]=1.4242424242424243),Lambda(variables[0]=1.4363636363636365),Lambda(variables[0]=1.4484848484848485),Lambda(variables[0]=1.4606060606060607),Lambda(variables[0]=1.4727272727272727),Lambda(variables[0]=1.4848484848484849),Lambda(variables[0]=1.496969696969697),Lambda(variables[0]=1.5090909090909093),Lambda(variables[0]=1.5212121212121212),Lambda(variables[0]=1.5333333333333334),Lambda(variables[0]=1.5454545454545454),Lambda(variables[0]=1.5575757575757576),Lambda(variables[0]=1.5696969696969698),Lambda(variables[0]=1.581818181818182),Lambda(variables[0]=1.593939393939394),Lambda(variables[0]=1.6060606060606062),Lambda(variables[0]=1.6181818181818182),Lambda(variables[0]=1.6303030303030304),Lambda(variables[0]=1.6424242424242426),Lambda(variables[0]=1.6545454545454548),Lambda(variables[0]=1.6666666666666667),Lambda(variables[0]=1.678787878787879),Lambda(variables[0]=1.690909090909091),Lambda(variables[0]=1.7030303030303031),Lambda(variables[0]=1.7151515151515153),Lambda(variables[0]=1.7272727272727275),Lambda(variables[0]=1.7393939393939395),Lambda(variables[0]=1.7515151515151515),Lambda(variables[0]=1.7636363636363637),Lambda(variables[0]=1.7757575757575759),Lambda(variables[0]=1.787878787878788),Lambda(variables[0]=1.8000000000000003),Lambda(variables[0]=1.8121212121212122),Lambda(variables[0]=1.8242424242424242),Lambda(variables[0]=1.8363636363636364),Lambda(variables[0]=1.8484848484848486),Lambda(variables[0]=1.8606060606060608),Lambda(variables[0]=1.8727272727272728),Lambda(variables[0]=1.884848484848485),Lambda(variables[0]=1.896969696969697),Lambda(variables[0]=1.9090909090909092),Lambda(variables[0]=1.9212121212121214),Lambda(variables[0]=1.9333333333333336),Lambda(variables[0]=1.9454545454545455),Lambda(variables[0]=1.9575757575757577),Lambda(variables[0]=1.9696969696969697),Lambda(variables[0]=1.981818181818182),Lambda(variables[0]=1.9939393939393941),Lambda(variables[0]=2.006060606060606),Lambda(variables[0]=2.0181818181818185),Lambda(variables[0]=2.0303030303030303),Lambda(variables[0]=2.0424242424242425),Lambda(variables[0]=2.0545454545454547),Lambda(variables[0]=2.066666666666667),Lambda(variables[0]=2.078787878787879),Lambda(variables[0]=2.090909090909091),Lambda(variables[0]=2.1030303030303035),Lambda(variables[0]=2.1151515151515152),Lambda(variables[0]=2.1272727272727274),Lambda(variables[0]=2.1393939393939396),Lambda(variables[0]=2.1515151515151514),Lambda(variables[0]=2.163636363636364),Lambda(variables[0]=2.175757575757576),Lambda(variables[0]=2.187878787878788),Lambda(variables[0]=2.2)
230.20917391005395,200.97321658291986,195.5990285893374,149.13391453169874,210.32836586203925,199.1741243144368,154.42058498453068,176.86564121923146,106.34431121712025,158.0307274252094,127.34857845816546,65.78220527512005,105.37942099361625,82.66837662349802,109.28665661727257,90.47907400669916,76.97202740564006,66.35918696998601,47.98545783483281,77.5189535318378,48.45818839500702,39.01154316657098,39.4627934419101,61.73696460950525,41.39202200735886,57.42314234391808,46.62429122790651,38.40019356328966,43.083491091863095,51.32106656674186,47.60629414329073,44.67339301212912,36.596203834752885,28.510530825250694,24.07080597589519,28.994286238023953,17.99748762776506,15.177040464825126,18.76767001034855,21.79214379602397,16.62345785251826,24.23236039772431,10.513377840794329,10.527812978632511,7.280013806020316,10.734408124057136,10.006014338468452,8.20227576126833,8.961843851750967,16.06375171226384,6.336380879722844,15.477563495666864,6.2247259510374535,12.586573274606682,10.105871793905106,7.3570402714339584,8.678437248269624,10.018376074467916,7.1793550457464015,8.89432965507713,5.687106846496863,4.869919325753459,7.767719576380458,7.2390670291317125,6.733118118400381,6.246040730138982,5.776073047528969,5.321442135313778,4.8789430650316445,4.445168796806004,4.0144821249251175,3.5767237838191286,3.108197235679015,2.4261559050644936,2.517319215883716,2.355867370607829,2.5485777504270026,2.588027605384193,2.3881823231819252,2.4893186186451497,2.6311454505797816,2.3210507015176787,2.6878864606705255,2.5272666803943555,2.6356072847870142,2.5447540170625405,2.5821230006478193,2.385327650324808,2.4244949626858663,2.373296281105448,2.297547317300856,2.6257843140251906,2.5344790198803326,2.347551895246522,2.469721582964965,2.6285330949445265,2.4286622594764924,2.6145355242846087,2.3728567881839613,2.369854258822062
1299.4515539868646,1221.9457794039756,1150.2888820673138,1073.5062140814198,1009.3210929876312,953.4574158335375,896.1938884299772,843.7793641791594,795.6501121877535,753.9215831291784,711.0171722986171,671.4310761771195,632.8642052153883,597.8803541592997,562.9270762010146,531.2598745702919,501.4581647925704,473.23781283806403,447.7171918416677,424.26242018791265,400.86012502922256,379.95018595158433,359.6776883753528,340.4958327033932,322.8591277122601,305.88241768830915,289.8216219890162,274.0871000593415,260.0172159287012,246.50738902678634,233.4400942994668,221.2623553253592,209.38763676467684,198.93197761675103,188.48150545509034,179.27931214707482,169.90050097217872,161.20471505643368,153.01709996348345,145.0939164462848,137.06872517637555,130.41663362486528,123.53488616099034,117.31520948268792,111.08881160499749,105.5057696572167,100.2492287443105,95.25049325309348,90.48918143733695,85.99140562815715,81.75254366763562,77.69939381336128,73.7538615496659,69.8311692078333,66.22543782078205,62.89983622037183,59.79249562782264,56.57903727513359,53.82748953497466,50.95620368425024,48.21223360391566,45.53792059398187,43.10459573683064,40.864416102162465,38.71312050170992,36.84015960140502,34.89724381257687,32.976775470753005,31.176579433688996,29.448959659478092,27.768030428884316,26.168397026442587,24.694395895207656,23.268847935216197,21.833853619665145,20.490608227696807,19.22036321792549,17.90211706805882,16.72177939116224,15.468286070200186,14.353977495857546,13.300654484545394,12.311016963683233,11.426098252585572,10.519856482952683,9.864184323915131,9.228676728391486,8.648074918216444,8.20289876352674,7.7827022045601835,7.425057100439899,6.985055738138729,6.671453693472222,6.4473066985566945,6.130782452729485,5.66709506297202,5.555513354267696,5.376676590370057,5.175120848099144,5.079329953358713
1420.3759683205772,1333.5935711658083,1253.7930660659615,1179.2973245216936,1109.3671856594785,1047.2278018538245,988.8049612666497,932.1131354211318,876.8124768248783,826.1009037806018,779.4686374308692,737.3442022853487,695.1638090778872,657.4250780147567,619.1995437913706,584.165982816671,551.4434536923166,521.9666882420214,494.5974563781762,466.7236619222325,441.72319028593176,417.1483485619559,395.54033695902393,375.8966808856379,355.4240512908627,336.8053879240986,319.45602691305936,302.54046804647027,286.4145144351741,271.75513256651425,257.4674801792769,244.43135326022568,231.9684711230817,219.7583758642335,208.49098204177483,197.67323433100916,187.90762277301275,178.64017201954286,169.56510752387877,161.15223873819698,153.25491125985974,145.31410283458754,138.03498635780286,131.0714032042598,124.46874125867294,118.33212132863373,112.29378880975699,106.69783882380256,101.41057988249588,96.34908382341136,91.52150019367635,86.94989394059249,82.60782925050445,78.44979125000714,74.47495087931645,70.59265461940016,67.03149091930968,63.68346642886815,60.441426815463316,57.38348692159952,54.568230599202955,51.75825016001607,49.01140789862743,46.5500045964133,44.13113050184916,41.73370842146184,39.53670552167731,37.420914020734976,35.446706881759766,33.549052604376456,31.74069309486032,29.953169200490855,28.28234293673442,26.58759556380045,25.074129546797366,23.502013504511684,22.069157899614012,20.691159259857464,19.370279870755482,18.061850476539668,16.831050347037927,15.586095135280805,14.462229978161165,13.456520952241139,12.535921949151156,11.738140349166473,10.975227942158126,10.400121394645733,9.753894914889747,9.24655479414647,8.643285503878086,8.191956495292015,7.894905887250228,7.423332085441641,7.1635237306156485,6.6330328623564805,6.4235579885791285,6.399870551783789,5.991545339771347,5.7881529080826235
1504.3562934261156,1416.1638301640057,1337.9629304540938,1261.74942524817,1186.8429948975586,1114.911734656474,1047.8466278534916,988.642694134921,932.7756130147063,879.4807836928537,827.8582575058196,779.5331742147005,735.671908155596,694.0538343422119,656.6230441889112,620.0929580310313,584.9393251328543,553.8509064831135,523.2765328778944,494.96554372108386,468.0300170540312,443.1524574013326,419.88222902323633,397.886688597349,377.27186143257467,356.8464252708504,338.31391103713867,320.55725017085615,303.66302718649627,287.68926526031976,272.9918049178461,258.8331202765009,245.9470865846763,233.58139725644756,221.65107570509923,210.73304585875096,200.25501910733635,189.76263252953677,180.0424379172963,171.01235309292494,162.3558543015179,154.4311713501968,146.8032443912512,139.27734982700449,132.3499696714409,125.80522884061857,119.67511295172979,114.03843331914794,108.41158071023612,102.8451264933142,97.61910893153294,92.84301275673808,88.35872076901512,84.04910501956051,79.91400939568858,75.90261755986417,71.98804243160826,68.53217929803272,65.11361461664508,61.86172413335617,58.811464686350476,55.83014904347996,53.00426874098257,50.29583622973379,47.68942167886187,45.22093303275002,42.87261267527937,40.59240678179788,38.47920064006582,36.40851975919722,34.466549979319204,32.54379657271863,30.720141359957548,29.00944914915707,27.333235523737834,25.7087538351122,24.223246174847723,22.720736163932067,21.275275856787605,19.921964780630397,18.592285472671044,17.280590515360494,16.0284776311381,14.960744846705198,13.913824469929699,13.021408866285586,12.233271562445573,11.543168006894053,10.864021988742374,10.307525862724328,9.682924213931361,9.173915854929813,8.717541576585493,8.244530941836397,7.925635380591768,7.413620945118741,7.1652330735263075,6.9150333213516015,6.546381147634203,6.325591847549402
1580.9662827902719,1488.0624099847305,1403.2677277261798,1320.4959748694473,1242.8013052808712,1168.0283895558173,1096.9647437018161,1033.9099295067942,976.4435138521537,920.0818220251945,865.2463914964864,814.8997243078113,770.9744523207439,727.7578293200426,688.9527359595688,651.1082293970766,615.3190631470036,580.8415872383249,549.4413464826382,519.5135632859648,491.95115329232107,465.4306426768709,440.6315620171037,417.074899629565,395.7921317501798,374.3435911511262,354.39141869324214,335.9327442788265,318.8236131140337,302.16255002453164,286.7521989332192,271.808375874414,258.44632269937415,245.2544867443887,232.68073644532848,221.08493882533585,209.69197863477294,199.07105678461346,189.232643886788,179.8667827716733,170.9685641610387,162.63518199008354,154.52351202626934,146.89578368047773,139.87124798258435,132.72468212857333,126.04615648497403,119.90622142913116,114.01505344604816,108.43069890052307,103.02530055313544,98.09281188453795,93.34190862175076,88.83463783810771,84.45705084405844,80.16631706510928,76.26846416063297,72.4623054997168,68.8693133693807,65.4832488602212,62.222307461398366,59.0907806146407,56.25416564089174,53.36511621557463,50.694457390454204,48.10665682438586,45.714553147606495,43.47904345492062,41.22030167135416,39.078958163090974,37.08939358379822,35.041339669579884,33.05372634698058,31.14273153778344,29.3400997906141,27.64181446549864,26.01542458577555,24.416672561597245,22.930678946839492,21.392433666170124,19.951017656253665,18.597796273902134,17.279741026166583,16.159708929137974,15.082696794044086,14.093764064107258,13.26905070835885,12.486068681301093,11.72884584408473,11.131719718107469,10.515638967154027,9.902676995567992,9.47513615476895,8.846358180588203,8.579691137164975,8.123369028973293,7.7556306770349055,7.506909235198864,7.135326264640227,6.802593338803512
1657.7471198832127,1555.6230180026378,1461.5395444312117,1371.2651476449541,1288.7496556796204,1214.283808624023,1142.289110489533,1075.2963221505386,1013.6624236519946,952.8809532169843,899.2300817657919,849.929587001099,802.1946233370752,758.796000026454,715.3788640748106,676.1358760971918,638.1643222034672,603.4763272813442,570.4353174831829,539.9743730647784,510.667059594279,484.38531237803903,457.95641129821973,434.19903149545,411.79750612536463,390.365674895167,369.30975634248654,349.9989301396307,332.66968600426475,316.3594365121821,300.2472545371446,284.7700356078051,270.06127090067224,255.89366878350128,243.0189096905131,230.70570083946387,219.07916567270286,208.77406283121604,198.19753444903213,188.41220082576197,179.28784940120067,169.94859185454038,161.56201755030781,153.96529825041,146.31628971532294,139.15045172863353,132.40049040256943,126.07248883904238,119.79030886496652,114.01087121619108,108.49889612801049,103.08309536725703,98.03294918597548,93.32527954557362,88.91557860448548,84.59596587044227,80.4971788176137,76.60298064664359,72.75612594933875,69.20501637171641,65.7188434719136,62.42689856165795,59.30989887886077,56.236204960913696,53.395162909368516,50.772682252877765,48.142244797943064,45.61536006279221,43.24441368337331,40.9812076564136,38.87082389570146,36.73059433850401,34.83805392515736,32.883370471071096,31.075234989728056,29.32990476783956,27.657117470190734,25.951573691406495,24.24984262318664,22.715468831108197,21.16918097886075,19.793412997333046,18.369398601765457,17.169295459114423,16.001066250965188,14.933235552550986,14.077685588085748,13.219283791115377,12.493211494220947,11.863540250966233,11.15614466008552,10.604760142530084,10.182468886788618,9.602577489572827,9.203381569021733,8.661220603429479,8.27409108005284,7.9745576172140975,7.606201310960479,7.289852259754981
1718.865178928147,1614.120914679702,1521.310526767854,1426.551624066307,1340.6204927750832,1262.6061167765922,1189.3569305246237,1122.0711064670886,1054.6072150909695,992.5985186216751,934.0620086352833,883.7694671487362,833.3796538103666,785.1074553528679,742.7492841074412,701.1919604239122,662.4566264709247,625.0415240474719,591.1265358227952,560.8034266314335,530.8765110807639,503.33922225488993,477.3794384654215,451.12752456936965,428.0098439013672,406.3234695239881,385.4321873210201,365.36321165695915,346.2337561917998,328.7672938621026,311.72269118757765,295.7254913868517,280.510505383823,266.46916796873535,253.62138927427793,240.6712701833025,228.6482645931075,217.65660271249382,206.90458926748863,196.69271828087807,186.9008551500857,177.7920715271012,169.12665087205357,160.87262152792937,152.9519282683286,145.49413321821686,138.640111751254,131.77993580346575,125.37898698889423,119.17106971287285,113.24128728155381,107.8495770171565,102.7561881320656,97.87112676748349,93.03231408627585,88.57352024386508,84.31120272465044,80.34639437441092,76.46478625064523,72.59223631393344,69.09825917176154,65.55984748070667,62.41901975633742,59.27203223684803,56.316633927576504,53.442443031283176,50.74593708987131,48.10399131221615,45.58721048968225,43.129214217229745,40.813225043617116,38.64375777969089,36.51067322609489,34.44030716462004,32.4760952930994,30.666227760244148,28.882443777121424,27.19912066448198,25.52986832826537,23.944219939102176,22.333424610794605,20.82746676917122,19.393687925190235,18.098492189972777,16.89908239904423,15.784462218574596,14.901482474230146,14.070119513553388,13.297603973056468,12.605504208556367,11.89136124669928,11.223672483344771,10.729041670877862,10.13516459128515,9.633446465557626,9.091099302970822,8.772016197533185,8.460905186318561,8.016787456418864,7.684817731166649
1785.9746367481232,1673.608795156281,1574.0085614400762,1480.3001035543948,1392.1358450263967,1309.1726400377013,1231.2955473412012,1160.3205845383395,1092.7850541526493,1027.1510274050536,966.776316029408,910.3564625983611,861.2494369590867,813.4844691287842,767.8159904303675,726.9107981693132,686.7544766875418,649.3686310245989,613.1254290404881,580.1605374626369,549.6445159154742,520.6904269815656,493.8432856370263,467.46433518418195,443.85941327379845,420.41873647437603,397.56548527669605,378.11123247813566,358.4946947024928,339.9775626231458,323.20770560498926,306.65298106066774,291.3662975245983,276.60481225243353,263.1368867796209,249.7237024000238,237.44036000132155,225.5530462874152,214.61924477913485,204.25999270464118,194.3246877720984,184.96642287761063,176.14568814678793,167.237490232183,159.12362027285448,151.39707159798067,144.00076132376591,137.03142077591502,130.50891734587316,124.2040638711302,118.23277152435497,112.63216193831255,107.16625488378585,101.86143236313204,96.96769425481652,92.40095229138491,87.94565313212716,83.61946348090744,79.59371405184075,75.70826713281915,71.93706050313317,68.37784127543806,65.00357858408631,61.72370842430039,58.76950744300315,55.86641493273928,52.98323561112407,50.20693108385115,47.72377187460533,45.193354328786754,42.82400868781102,40.4228775113175,38.227971688266955,36.09942503598298,34.00510237736432,32.06469938707449,30.150192682543164,28.317239078480256,26.588470763088733,24.816051493792575,23.210802915144058,21.727935728679768,20.276018821289156,18.92232576194757,17.603840380398054,16.49943717699449,15.574867890018782,14.722629208995313,13.87087059776995,13.220691028360516,12.480567277228236,11.823634541593725,11.224764226558696,10.586569790122535,10.085575085633684,9.61677100234454,9.2214926751364,8.859539807803207,8.384578246387765,8.076870114142977
1841.0433616641787,1728.7017066297715,1627.9997930022514,1528.2884426901649,1437.282188414879,1352.74420009728,1272.943814766768,1194.9722858480063,1123.2509080266104,1057.2279393202743,997.9529029800602,942.2860584513803,889.7579718018644,839.9923842336527,793.7996847120014,750.3750646490149,709.2361298402852,670.5229356821126,634.3733951060335,600.5408477840326,568.3002848543113,539.1910993620563,509.71930851582147,483.2896470691776,457.3637612914016,433.818110350801,411.56956707444016,390.3101496751138,370.6374898196594,351.0591880292434,334.2409258057496,316.70739379893195,300.99415608771386,286.1821396733865,272.0844415936186,258.69335652551445,245.86474529748284,233.84479916352728,222.76510611255867,211.42752770602684,201.20125853320656,191.50742530092003,182.09305215003639,173.3622806963793,164.96196369057597,157.16797427843744,149.69048482105532,142.53480610407487,135.84177888919197,129.3771819378774,123.41829222329899,117.42623705925564,111.8497285267054,106.52516309731055,101.25425486066322,96.32759689197432,91.70286001210262,87.12854342598685,82.90337504145373,78.97015868342461,75.00431591885489,71.21178400342727,67.66932280393783,64.29182366876029,61.01983064303452,57.92896708973976,54.93520948816688,52.11658140560319,49.46592367682425,46.91949713852752,44.41414918306956,42.01144561780487,39.806260391126614,37.57409201322819,35.41599667060738,33.39201827881921,31.37025298501876,29.389750517006036,27.536338419415763,25.753657546389263,24.16190300611568,22.574106182412585,21.031265297423154,19.620509812353763,18.30226950700107,17.17631373467756,16.25880190592789,15.385276986539019,14.45684374240214,13.693427378046929,13.012430950134851,12.332010736975482,11.655093183147901,11.05763775663036,10.587510192261341,10.073333063243897,9.63297217443419,9.245780543544784,8.80604014050266,8.509273314864595
1896.6973315544235,1778.6605116241028,1674.63101200358,1574.8614956822896,1477.5992532589116,1390.2617982756608,1310.0006308709617,1232.6590213790973,1162.3644607179865,1093.4107623348323,1030.9150683017579,972.1500424940195,918.043791425505,866.9180779693452,819.0793568131769,773.9220322650266,731.9071500966975,691.8906053853476,655.0549558564026,619.90549218071,587.348720296089,556.94564798237,525.9520256543068,497.94445987641086,471.8692164089918,447.9633255964003,424.6851719792821,402.8117044493778,382.53114664901636,362.64076745694376,344.08606697117415,326.9833186329828,311.014207043661,295.85761720770597,281.5384482282003,267.84730259983996,254.8875402192267,242.4006416937174,230.31444467773204,219.11541895469233,208.7547698038413,198.7064630103701,188.97598775791684,179.9162469594401,171.31317274829905,163.13165876807088,155.22599338400087,147.8097590657577,140.7099504525542,134.0977279677706,127.56889771979988,121.50201746348567,115.65902457017341,110.0660090718803,104.71752244992285,99.67412559114213,95.02699789566479,90.43770628963543,86.01393312563418,81.80603259835553,77.82150513052189,73.85942574845772,70.15327384773856,66.5753709952404,63.229155928741946,60.03987846414572,57.08091138761354,54.055613171384415,51.19681696518668,48.47901124897602,45.85433998901366,43.46116437939905,41.16488357436695,38.86529327393167,36.703863316180886,34.613416688429105,32.53144371813012,30.530314690836093,28.628731888117215,26.79019032703822,25.006764173554373,23.271145335808896,21.73411658148627,20.301148482423965,19.00007880977281,17.884883196474,16.940256524951877,15.962952002616916,15.030594385482711,14.240451224624907,13.49053060846391,12.822322900307631,12.057840683194758,11.510019815304448,11.04671068922915,10.52572167660281,10.064658821444276,9.630506408308896,9.147366838931173,8.882017233750972
