Lambda(variables[0]=1.0),Lambda(variables[0]=1.0121212121212122),Lambda(variables[0]=1.0242424242424242),Lambda(variables[0]=1.0363636363636364),Lambda(variables[0]=1.0484848484848486),Lambda(variables[0]=1.0606060606060606),Lambda(variables[0]=1.0727272727272728),Lambda(variables[0]=1.084848484848485),Lambda(variables[0]=1.096969696969697),Lambda(variables[0]=1.1090909090909091),Lambda(variables[0]=1.1212121212121213),Lambda(variables[0]=1.1333333333333333),Lambda(variables[0]=1.1454545454545455),Lambda(variables[0]=1.1575757575757577),Lambda(variables[0]=1.1696969696969697),Lambda(variables[0]=1.1818181818181819),Lambda(variables[0]=1.1939393939393939),Lambda(variables[0]=1.206060606060606),Lambda(variables[0]=1.2181818181818183),Lambda(variables[0]=1.2303030303030305),Lambda(variables[0]=1.2424242424242424),Lambda(variables[0]=1.2545454545454546),Lambda(variables[0]=1.2666666666666666),Lambda(variables[0]=1.2787878787878788),Lambda(variables[0]=1.290909090909091),Lambda(variables[0]=1.3030303030303032),Lambda(variables[0]=1.3151515151515152),Lambda(variables[0]=1.3272727272727274),Lambda(variables[0]=1.3393939393939394),Lambda(variables[0]=1.3515151515151516),Lambda(variables[0]=1.3636363636363638),Lambda(variables[0]=1.3757575757575757),Lambda(variables[0]=1.387878787878788),Lambda(variables[0]=1.4000000000000001),Lambda(variables[0]=1.412121212121212),Lambda(variables[0]=1.4242424242424243),Lambda(variables[0]=1.4363636363636365),Lambda(variables[0]=1.4484848484848485),Lambda(variables[0]=1.4606060606060607),Lambda(variables[0]=1.4727272727272727),Lambda(variables[0]=1.4848484848484849),Lambda(variables[0]=1.496969696969697),Lambda(variables[0]=1.5090909090909093),Lambda(variables[0]=1.5212121212121212),Lambda(variables[0]=1.5333333333333334),Lambda(variables[0]=1.5454545454545454),Lambda(variables[0]=1.5575757575757576),Lambda(variables[0]=1.5696969696969698),Lambda(variables[0]=1.581818181818182),Lambda(variables[0]=1.593939393939394),Lambda(variables[0]=1.6060606060606062),Lambda(variables[0]=1.6181818181818182),Lambda(variables[0]=1.6303030303030304),Lambda(variables[0]=1.6424242424242426),Lambda(variables[0]=1.6545454545454548),Lambda(variables[0]=1.6666666666666667),Lambda(variables[0]=1.678787878787879),Lambda(variables[0]=1.690909090909091),Lambda(variables[0]=1.7030303030303031),Lambda(variables[0]=1.7151515151515153),Lambda(variables[0]=1.7272727272727275),Lambda(variables[0]=1.7393939393939395),Lambda(variables[0]=1.7515151515151515),Lambda(variables[0]=1.7636363636363637),Lambda(variables[0]=1.7757575757575759),Lambda(variables[0]=1.787878787878788),Lambda(variables[0]=1.8000000000000003),Lambda(variables[0]=1.8121212121212122),Lambda(variables[0]=1.8242424242424242),Lambda(variables[0]=1.8363636363636364),Lambda(variables[0]=1.8484848484848486),Lambda(variables[0]=1.8606060606060608),Lambda(variables[0]=1.8727272727272728),Lambda(variables[0]=1.884848484848485),Lambda(variables[0]=1.896969696969697),Lambda(variables[0]=1.9090909090909092),Lambda(variables[0]=1.9212121212121214),Lambda(variables[0]=1.9333333333333336),Lambda(variables[0]=1.9454545454545455),Lambda(variables[0]=1.9575757575757577),Lambda(variables[0]=1.9696969696969697),Lambda(variables[0]=1.981818181818182),Lambda(variables[0]=1.9939393939393941),Lambda(variables[0]=2.006060606060606),Lambda(variables[0]=2.0181818181818185),Lambda(variables[0]=2.0303030303030303),Lambda(variables[0]=2.0424242424242425),Lambda(variables[0]=2.0545454545454547),Lambda(variables[0]=2.066666666666667),Lambda(variables[0]=2.078787878787879),Lambda(variables[0]=2.090909090909091),Lambda(variables[0]=2.1030303030303035),Lambda(variables[0]=2.1151515151515152),Lambda(variables[0]=2.1272727272727274),Lambda(variables[0]=2.1393939393939396),Lambda(variables[0]=2.1515151515151514),Lambda(variables[0]=2.163636363636364),Lambda(variables[0]=2.175757575757576),Lambda(variables[0]=2.187878787878788),Lambda(variables[0]=2.2)
230.20917391005395,252.32588850021313,237.85980971266997,149.13391453169874,133.7710708040561,97.11838560556576,79.33485806521252,127.1886356724736,55.94163448628964,89.91331822469795,40.66773714027623,34.92197953648805,56.765084527071956,68.42347970913735,98.0016496438556,37.067575490863874,32.08609341571408,35.0564639307155,29.95903713966559,25.592644275764105,21.810520524254038,19.602872971832955,25.761846623240793,31.105547978488342,23.38093537725107,20.331499886107416,31.115528947359007,15.264947229614947,13.131275068858226,11.195172977947161,49.36364533611158,18.418220841175007,18.236553173568232,13.432269405624643,24.07080597589519,21.34839009067756,16.49670309344602,15.177040464825126,12.772318458733652,11.990917918283232,8.857581979817878,7.196771553219936,5.590908934875478,8.330513973941915,7.280013806020316,12.323975851404104,10.006014338468452,10.431326191743427,8.961843851750967,7.610547919023541,13.670275880775755,7.431322287751509,6.2247259510374535,12.586573274606682,11.147255095345407,12.19828170970044,8.678437248269624,10.018376074467916,10.1240953890801,8.89432965507713,8.894203162946289,8.317156658340494,7.767719576380458,7.2390670291317125,6.733118118400381,6.246040730138982,5.776073047528969,5.095092494960252,4.8789430650316445,4.445168796806004,4.0144821249251175,3.5767237838191286,3.108197235679015,2.4261559050644936,2.517319215883716,2.355867370607829,2.5485777504270026,2.588027605384193,2.3881823231819252,2.4893186186451497,2.6311454505797816,2.3210507015176787,2.6878864606705255,2.5272666803943555,2.6356072847870142,2.5447540170625405,2.5821230006478193,2.385327650324808,2.4244949626858663,2.373296281105448,2.297547317300856,2.6257843140251906,2.5344790198803326,2.347551895246522,2.469721582964965,2.6285330949445265,2.4286622594764924,2.6145355242846087,2.3728567881839613,2.369854258822062
1360.2368678140576,1279.0673686806429,1200.918570162192,1131.768543844291,1063.586687699772,999.425516537973,945.1503634775107,889.9741420854301,840.636553703603,792.4332285745995,749.6199234100762,708.1719300866009,668.7988298278797,632.8575751847776,600.3529490529871,568.3996493199131,536.1402737299028,507.8550359919004,479.74218873970887,454.79061052702,430.5802872165531,408.71147147089033,387.061823098101,366.7493553828453,348.2039658286377,329.22100436983345,312.7485707017353,296.1225609651684,279.43942836328324,265.996975354073,252.95520106928922,239.82612352351475,227.49850989275208,215.48614902732837,204.51759593163302,194.3788644625602,184.40813694133993,175.07041901200625,166.27261488822276,158.18598721541784,150.29499256827202,142.7569064843148,135.56522588410277,128.7953874631826,122.28788771418263,116.4635959005423,110.48903482029303,104.9326599729817,99.67562777348422,94.6192946970267,89.79258843327031,85.12632583816428,80.77321383518431,76.61451875388242,72.86495980075355,69.21379437405386,65.6589145280933,62.44311273355203,59.18218929156886,56.19671784312618,53.43256195848354,50.656811958761054,47.98784976782925,45.5181842701761,43.21235495870276,40.88928764328157,38.689655283404946,36.546026179802,34.4928315781941,32.614677475471666,30.876306107140437,29.08062220624748,27.336489128141153,25.668687048507042,24.070405700264313,22.556383558798142,21.004909844285038,19.579136949861375,18.15358282757735,16.838657115460343,15.612997925993776,14.53104487818312,13.407026505155436,12.532821851885526,11.591510862713278,11.014384991348264,10.466461494800921,10.09146693565006,9.672609754641051,9.206864368254527,8.775673585917144,8.584858644095979,8.334409580293357,8.058923934179605,7.994208219528531,7.560264828982217,7.503450011610323,7.455697580672299,7.334922467938608,6.951499628150449
1494.5492540250095,1408.6591422095391,1331.844402665433,1253.849464516938,1181.5784040318779,1110.7936373768598,1045.3585095943458,983.9403239019682,929.9449483662316,878.6336923602003,826.6861963870533,779.8886550622902,737.4549947610993,698.5700258315491,660.3140106754868,623.8787341980508,589.0879839635817,557.0964418081394,525.4939553335679,498.3864931983319,471.9155700644841,446.9440577628405,424.1776507817351,401.6397900380522,381.13127707381113,360.72312998774754,342.2951116468869,324.25762266631784,307.4043986340101,292.0712891449181,277.22645515005553,263.58972361439334,250.0160994299829,237.49187483861883,226.51023360274556,215.3297127750246,204.55718888625478,194.7756675215274,184.87728099644718,175.68256448508825,166.81178438804992,158.31608271779217,150.12389061183714,142.58715151383163,135.99750177360764,129.05756580319976,122.94128756053185,116.76250571813615,110.86215167438979,105.61980600600943,100.52316226050915,95.72667356556772,91.03271962820834,86.49389067295805,82.32746234053276,78.27653374670473,74.15487914449423,70.46325525170779,66.8631343989024,63.58673930340927,60.417777238563325,57.51013233615039,54.785726024619954,51.88634964247877,49.16389578614184,46.598512443195055,44.12708676057209,41.78294140666459,39.471231257168206,37.363590413862475,35.31683602217668,33.433223053869916,31.55998648109165,29.74774435072175,27.950621353474535,26.31784754984732,24.6831811493622,23.015192138837943,21.43314152116113,19.876939005795048,18.41252459593421,17.131680500584046,15.756982661282105,14.72978474003209,13.680804650324733,12.953839725009514,12.342890233734044,11.814322512342907,11.231063780403975,10.806258713999636,10.402882843567628,9.917925222486499,9.848950479388037,9.41266494616792,9.17871607890476,8.884665675725788,8.677770512357696,8.551836054691645,8.295258096148665,7.965501511749881
1600.7910704260532,1508.5450052743538,1416.5115563997444,1335.2921369877367,1255.3039779136266,1183.7690459331998,1116.0636322153616,1051.630456365674,989.7266992746792,932.2589236692436,879.5496845012606,829.6826674549411,784.5815650607042,741.3342130775669,701.7284142648895,663.4176149464952,627.6803986709928,595.1949087464405,563.816130173302,532.7469866412821,503.675433049082,477.27054253562983,453.0534381503087,429.59249662163,408.01151053869194,385.7467701539123,365.21681908428735,346.3898484552484,329.86054078697515,313.2579008457244,297.56704594879324,282.57504944430815,268.86836419942955,255.51985008391887,241.83396270406496,229.97598645132442,218.68755919008814,208.26869002507675,197.78570755776164,187.89417353253492,178.49512351183552,169.89072301783455,160.4831425461725,153.7322020481626,145.91585453901854,138.87888743380105,132.11972057817053,125.57706667359804,119.78953067497723,114.08832957768966,108.60574180616186,103.11065086422717,98.02755202957559,93.53186124499818,89.0855486616916,84.69834392973146,80.7441189975307,76.76486276858104,72.9550395119399,69.34679074993674,65.92950215355233,62.668344184069355,59.475487270581105,56.43163418257218,53.490494001718254,50.90897228223413,48.303094293054706,45.73540077817313,43.25678512681099,40.932516192849604,38.72792015944416,36.63330012694097,34.65501156306752,32.681696340358585,30.774206740079308,28.855145540876155,26.962514365948678,25.218778223493853,23.52383081083714,21.94135047755386,20.34890030934724,18.87439762721242,17.549221526937227,16.385303411713817,15.291250387674106,14.361823512921774,13.636085190012873,12.970820312519415,12.315064855832558,12.01110824254717,11.530818208675282,11.01940782787256,10.75411024942846,10.316411207305107,9.977062968685795,9.861162095116061,9.470438144132295,9.134379174885334,8.998054316356644,8.882962725647692
1696.6866925633249,1591.1041191314619,1492.705332568444,1402.7032124855762,1320.637074072186,1244.3400393152228,1175.0377700929587,1106.364896852436,1047.1006494116057,983.1072974285652,927.1370718442168,877.5875432739349,827.8315817688995,783.4750099504885,739.523711074211,699.9219608210503,662.8145873166425,624.9374462094145,590.181345617291,560.0227760052959,530.8347707573811,503.3303681019485,477.6576514434883,451.55964519418643,429.3277770967068,407.72988293348743,386.5410825325693,367.3395608057505,348.08085689483414,330.6089570779659,313.8432250434096,297.4008329683711,282.7125431934316,269.674857762104,256.5332868711443,244.38711085915187,232.19685160908452,220.98893144721026,210.37867017237886,199.8515888511385,190.1200945795518,180.94684020737478,172.2637665837064,163.95093184666902,156.26188985829347,148.60199699200484,141.43127676330903,134.4029867838373,127.96002262815558,121.75758284719998,116.02848205242358,110.30170003096767,104.97653581642794,99.83083033777683,94.86835807737222,90.45374282997177,86.07675235426052,81.99439910408861,78.02130992007832,74.14666386968618,70.51991130664071,67.09224146167234,63.95987413168437,60.62760637521935,57.49588244608001,54.62410086830119,51.92765115173736,49.312103936556866,46.71525631348195,44.27052395526795,41.795043796157714,39.468650340498954,37.23272407463866,35.16882636914593,33.06324798853554,30.93423463802807,29.05418981639354,27.2535027906681,25.458013943242886,23.675222503671993,21.993115010313367,20.39832126195566,18.88436876558793,17.684532866918467,16.465869482988513,15.406583551976073,14.656533736835327,14.038070155265029,13.341212192419885,12.935826784548292,12.40332289580517,11.928980823059563,11.43359360654258,11.024745999074424,10.720560755038447,10.60642403292564,10.156897224666958,9.797416962686738,9.769233982882524,9.461492564206832
1769.6241994319341,1664.607031932784,1566.2829947561206,1476.1963516922065,1388.752185182233,1307.3058058746567,1229.1542557520024,1158.5453741747208,1092.891340776559,1029.3403960542269,971.5808680657417,917.4174257698893,866.3873944775676,819.3245238206489,776.3734430514818,734.0122876245522,692.5551786518903,654.414559424311,618.8184873299322,587.0693891347166,555.8349433861914,527.5426361117721,500.46465602628996,474.17099861581283,448.97534431210846,425.9815489936917,404.8366888145973,383.93252180188915,365.0488042344281,346.1833451315547,328.95654608543754,312.5504897706595,296.9199685834703,282.1540937522237,268.5969078644718,256.0264894918641,243.34113495302176,231.88332194510858,220.84168239484086,209.74218486952702,199.85476794113896,190.43695333135966,181.28144198643508,172.50165423868938,164.36147873206653,156.51245750229066,148.99893004358114,142.1558274945452,135.3047975327896,129.0094681878127,122.94632886519804,117.19879139289053,111.67161265492027,106.06069630033716,100.8664184248746,96.15750511319989,91.46353067699567,86.93569915804324,82.78244249289483,78.76342570585108,74.91591786499022,71.17001598808437,67.57877458535093,64.12689120085315,60.87136986014874,57.76656787155927,54.754170560380686,51.881420911099106,49.192111323783834,46.68366333625495,44.17798927987484,41.80462082205964,39.47692893585158,37.24521573646626,35.115604994540405,32.88957739502502,30.819505674080066,28.841490421414953,26.875183221797094,24.954912243694267,23.266013767348202,21.67131685259591,20.096828507312836,18.724839227927653,17.384537796576648,16.235575990369075,15.564557479336596,14.853443915592248,14.17555211951579,13.60983654373144,13.102962062560762,12.60320518604283,11.972869776721188,11.811114613403364,11.399348763971222,11.261882094990291,10.661606007871217,10.372544111535214,10.376920751840121,10.03014892042123
1842.3709097928092,1731.6426677809873,1632.8862105369253,1534.1677171039544,1449.074862594333,1364.0025614408407,1282.5542388027582,1205.8603826469607,1138.4107751614238,1071.987868884528,1012.5555123505458,956.4681106468414,902.4723301605683,851.9419622312787,804.7510915518521,763.0169777583595,720.4807620372031,682.5310369213845,645.7174363187862,612.8705169435264,581.3958027303246,550.1990793953745,520.7864661476158,493.9796955297989,469.10578523783346,445.68619642088885,422.03256616507997,401.1352724977831,380.5951073192617,361.3381405608445,342.7255253477079,326.05498164841805,310.75952993743795,295.2514941960496,281.0148960728287,267.71349432163635,254.89717641602545,242.41215518748376,230.31858728104558,219.11780660456085,208.87581737078293,198.76668201183074,189.17955622799823,180.22440984228263,171.60825583046244,163.64220537549224,155.72254221050426,148.10841119516138,141.26045808500035,134.61132182816405,128.21046668401655,122.23661139202345,116.39007659396916,110.9114404749058,105.52845034235969,100.43820281391353,95.60513764700552,91.06923126407139,86.75459657266777,82.50476781058737,78.37451644524559,74.51395549863072,70.78004979539428,67.20779751645837,63.74673951788394,60.49742988694403,57.51630167613821,54.57300016316379,51.48099860930675,48.6808647150554,46.11511013977355,43.58506379262466,41.183725387467334,38.83293152599286,36.65968325061901,34.53998507135126,32.384219163389346,30.247470378883822,28.26012001006056,26.2865549435569,24.47681925285836,22.682871963816428,21.07960010657552,19.59263328107171,18.226349728651687,17.153078937964402,16.430011806689343,15.669912208410421,14.87617558406348,14.347173737276744,13.732056188885124,13.142919120346614,12.498522660550096,12.41111400517164,11.939143465668623,11.715808522507926,11.035685644089176,10.807462910233456,10.703010258281749,10.529872952839845
1908.2997190860408,1795.943594487019,1688.0685000147287,1588.3076608142148,1495.2671848123566,1408.093949391061,1328.742347202353,1252.2089272797455,1181.8815583466096,1113.6610135315873,1051.693660973342,992.8291737883137,938.3773030959951,887.7698439857396,840.1745689954579,794.1250422225136,752.8764684136011,712.6932653283335,674.7223610197174,638.923161511718,604.160180544862,572.3232204952724,541.0897484121285,513.432376969647,487.45956918814295,461.9758557387835,438.3965617110771,416.3414838341516,395.518981343307,376.613826719181,358.64366022191837,340.0505746076396,323.4382464339042,307.66801324898245,292.4907472337108,278.34140165053645,264.6802856021659,251.97598477834012,239.8135920571402,227.91779974156927,217.02707643106712,206.55383796636258,196.87936062384233,187.71526481469962,178.65373248721784,170.1206346853534,162.3286404973958,154.59765595088697,147.1700376029891,140.20761527981077,133.32487510329764,126.94088488908803,120.96273802414574,115.24291354310415,109.61077091319765,104.34329598370327,99.06756690800552,94.22360816656621,89.86639612110652,85.67132633052087,81.33565876102308,77.36554562140851,73.57342261588903,69.8641279408458,66.43480887572693,62.97955145150748,59.7665096409006,56.58679685278672,53.681962043868715,50.90107678830145,48.06239771614729,45.50907138797842,42.935756898259314,40.46485339943153,38.01035617491588,35.849452737749736,33.58090928990584,31.530401531159022,29.394546566449666,27.400117927179164,25.505439904488266,23.684012663131565,21.939055486416464,20.438676936251483,19.07221412922921,18.029574344249482,17.201830020689236,16.295245412817525,15.480514198892191,14.908101116405211,14.403514044672157,13.729380860565728,13.155735639325163,12.944241994744328,12.500038476024569,12.124090033273696,11.552170435552377,11.286743781980176,11.214138919125784,11.022286035517647
1984.1881322436686,1862.7552794679816,1755.4143137055548,1652.2445525959336,1556.4050906182072,1465.1715644969026,1380.4467491651665,1299.9211637511737,1222.594680694002,1155.2619491381024,1091.8438658538844,1032.6077757025114,975.2669914564441,919.3217260861758,869.1850411568047,823.6365216872567,780.0344647179148,737.7070402093244,698.0827653170684,660.3702098186858,624.9154623863654,593.2136204444083,562.4319240183523,533.8001669683932,506.56361606573034,481.04769716504813,456.676038258452,433.0522510566574,410.7094741604272,390.6531105466279,371.9118671460382,353.86742454812406,335.8726346779759,319.2140312655186,303.1674916631933,288.0880950077485,274.20635766501675,261.04499454167984,248.40795420053587,236.89225182246554,225.45975603845685,214.4054753601491,204.12519256139595,194.36284427952023,185.05433503975527,176.20250677964836,167.85897904017375,159.96985312981982,152.4200550112207,145.149818332592,138.25538063728226,131.73420642779544,125.45349952461318,119.51687708530208,113.73475815153125,108.45509800016978,103.2484331520282,98.23253367587863,93.3442755780799,88.76803237877947,84.33799515120064,80.09334705043787,76.12130500760246,72.35951672810683,68.75304025733631,65.26600039403172,61.73457612714433,58.613035539730255,55.56504175477246,52.70880987741429,49.7180237647902,47.031779007930936,44.37613904571951,41.81079195815997,39.37739176578825,36.99498700243074,34.734164782038754,32.656040426005184,30.570935718228693,28.528986148045583,26.55309019967398,24.639615094692278,22.868377913886107,21.39781377586593,19.966724330874488,18.798338825765185,17.763029322339314,16.870046937243952,16.091937483191813,15.380503638011781,14.961900576459001,14.266203956756009,13.719975585979828,13.475973726899573,12.873419863334936,12.563659500701462,11.946726464797301,11.861691097022538,11.596218195957471,11.328546189060647
2043.13789277722,1922.5141301844885,1815.4851301148549,1711.0799028257302,1610.7683425285372,1518.2006075670301,1430.335456690233,1343.46680516463,1268.7563348650528,1196.6520801414222,1131.9955601649112,1069.2494309956346,1010.3337815029918,954.4221718358544,901.9157376027141,853.0120219239409,807.4067063766419,763.4987182431622,723.3388321572678,684.8958541117305,648.5338638888063,616.0690798254402,583.8431390304319,554.4378904281534,526.4872734810743,498.96439013557693,474.026020954186,450.332117597142,427.8179884148811,406.22688225442647,386.1726469814737,366.6359538072953,348.83283317738915,331.67558900448216,315.1888842252938,299.837037790088,285.1002012120962,271.1073551907367,257.6055785343635,245.24058530698292,233.361198825125,222.2929199532152,211.59104475443291,201.47947191710114,191.8004064971127,182.4528459292057,173.92045164057166,165.6779876769146,157.73316422023535,149.85379790364297,142.70402787112076,135.72392928092395,129.03924209567109,122.89582370138163,116.86641647104344,111.26830199183246,106.13948204009336,100.9615764202376,96.21039536450836,91.5075563082967,87.05194217465827,82.8870449280407,78.77915133606254,74.77974494475087,70.92818697296023,67.32295180925499,63.96201007097477,60.682143149970265,57.38981009605666,54.34451756925571,51.392484398805465,48.61670837393196,45.821925387593396,43.17736294867024,40.664815322845186,38.159551171457856,35.78569289103443,33.62196780498485,31.52492594017815,29.486845777368856,27.49969808537539,25.550406771415695,23.791511636563854,22.19666150157925,20.693335422777306,19.468962275290988,18.4411846750107,17.401040269875505,16.66919372059241,16.048249151474035,15.387751387195747,14.710274676118006,14.19158836165453,13.85813477490219,13.28010242091763,12.928739221093593,12.473535001182652,12.357203884203042,11.997332491323805,11.780452614836065
