pressurec2(variables[0]=28000000000000.0),pressurec2(variables[0]=56000000000000.0),pressurec2(variables[0]=84000000000000.0),pressurec2(variables[0]=112000000000000.0),pressurec2(variables[0]=140000000000000.0),pressurec2(variables[0]=168000000000000.0),pressurec2(variables[0]=196000000000000.0),pressurec2(variables[0]=224000000000000.0),pressurec2(variables[0]=252000000000000.0),pressurec2(variables[0]=280000000000000.0),pressurec2(variables[0]=308000000000000.0),pressurec2(variables[0]=336000000000000.0),pressurec2(variables[0]=364000000000000.0),pressurec2(variables[0]=392000000000000.0),pressurec2(variables[0]=420000000000000.0),pressurec2(variables[0]=448000000000000.0),pressurec2(variables[0]=476000000000000.0),pressurec2(variables[0]=504000000000000.0),pressurec2(variables[0]=532000000000000.0),pressurec2(variables[0]=560000000000000.0),pressurec2(variables[0]=588000000000000.0),pressurec2(variables[0]=616000000000000.0),pressurec2(variables[0]=644000000000000.0),pressurec2(variables[0]=672000000000000.0),pressurec2(variables[0]=700000000000000.0),pressurec2(variables[0]=728000000000000.0),pressurec2(variables[0]=756000000000000.0),pressurec2(variables[0]=784000000000000.0),pressurec2(variables[0]=812000000000000.0),pressurec2(variables[0]=840000000000000.0),pressurec2(variables[0]=868000000000000.0),pressurec2(variables[0]=896000000000000.0),pressurec2(variables[0]=924000000000000.0),pressurec2(variables[0]=952000000000000.0),pressurec2(variables[0]=980000000000000.0),pressurec2(variables[0]=1008000000000000.0),pressurec2(variables[0]=1036000000000000.0),pressurec2(variables[0]=1064000000000000.0),pressurec2(variables[0]=1092000000000000.0),pressurec2(variables[0]=1120000000000000.0),pressurec2(variables[0]=1148000000000000.0),pressurec2(variables[0]=1176000000000000.0),pressurec2(variables[0]=1204000000000000.0),pressurec2(variables[0]=1232000000000000.0),pressurec2(variables[0]=1260000000000000.0),pressurec2(variables[0]=1288000000000000.0),pressurec2(variables[0]=1316000000000000.0),pressurec2(variables[0]=1344000000000000.0),pressurec2(variables[0]=1372000000000000.0),pressurec2(variables[0]=1400000000000000.0),pressurec2(variables[0]=1428000000000000.0),pressurec2(variables[0]=1456000000000000.0),pressurec2(variables[0]=1484000000000000.0),pressurec2(variables[0]=1512000000000000.0),pressurec2(variables[0]=1540000000000000.0),pressurec2(variables[0]=1568000000000000.0),pressurec2(variables[0]=1596000000000000.0),pressurec2(variables[0]=1624000000000000.0),pressurec2(variables[0]=1652000000000000.0),pressurec2(variables[0]=1680000000000000.0),pressurec2(variables[0]=1708000000000000.0),pressurec2(variables[0]=1736000000000000.0),pressurec2(variables[0]=1764000000000000.0),pressurec2(variables[0]=1792000000000000.0),pressurec2(variables[0]=1820000000000000.0),pressurec2(variables[0]=1848000000000000.0),pressurec2(variables[0]=1876000000000000.0),pressurec2(variables[0]=1904000000000000.0),pressurec2(variables[0]=1932000000000000.0),pressurec2(variables[0]=1960000000000000.0),pressurec2(variables[0]=1988000000000000.0),pressurec2(variables[0]=2016000000000000.0),pressurec2(variables[0]=2044000000000000.0),pressurec2(variables[0]=2072000000000000.0),pressurec2(variables[0]=2100000000000000.0),pressurec2(variables[0]=2128000000000000.0),pressurec2(variables[0]=2156000000000000.0),pressurec2(variables[0]=2184000000000000.0),pressurec2(variables[0]=2212000000000000.0),pressurec2(variables[0]=2240000000000000.0),pressurec2(variables[0]=2268000000000000.0),pressurec2(variables[0]=2296000000000000.0),pressurec2(variables[0]=2324000000000000.0),pressurec2(variables[0]=2352000000000000.0),pressurec2(variables[0]=2380000000000000.0),pressurec2(variables[0]=2408000000000000.0),pressurec2(variables[0]=2436000000000000.0),pressurec2(variables[0]=2464000000000000.0),pressurec2(variables[0]=2492000000000000.0),pressurec2(variables[0]=2520000000000000.0),pressurec2(variables[0]=2548000000000000.0),pressurec2(variables[0]=2576000000000000.0),pressurec2(variables[0]=2604000000000000.0),pressurec2(variables[0]=2632000000000000.0),pressurec2(variables[0]=2660000000000000.0),pressurec2(variables[0]=2688000000000000.0),pressurec2(variables[0]=2716000000000000.0),pressurec2(variables[0]=2744000000000000.0),pressurec2(variables[0]=2772000000000000.0),pressurec2(variables[0]=2800000000000000.0)
45848237510.0,71731749440.0,81625085140.0,89930667230.0,95932094780.0,102334021200.0,105693455400.0,109163173400.0,116448061800.0,120270833500.0,120270833500.0,124219099500.0,124219099500.0,128296979800.0,128296979800.0,132508729200.0,132508729200.0,136858742500.0,141351558500.0,145991865200.0,145991865200.0,155734477300.0,160846948300.0,183031167600.0,189039737800.0,195245558100.0,195245558100.0,201655103900.0,208275063000.0,215112343000.0,222174078100.0,229467636700.0,244780915700.0,269688062600.0,287685409000.0,297129581900.0,338110078200.0,410418050300.0,452179241700.0,498189751900.0,710727969700.0,1755856331000.0,1873031539000.0,3243560807000.0,15790533140000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,40291220280000.0,41613905530000.0,41613905530000.0,40291220280000.0,40291220280000.0,40291220280000.0,16844297600000.0,41613905530000.0,41613905530000.0,41613905530000.0,17397264320000.0,41613905530000.0,41613905530000.0,41613905530000.0,17397264320000.0,17397264320000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,41613905530000.0,42980012060000.0,41613905530000.0,41613905530000.0,42980012060000.0,42980012060000.0,42980012060000.0,42980012060000.0,21117830440000.0
52255103890.0,102334021200.0,132508729200.0,159369353000.0,188169442500.0,222174078100.0,252816614400.0,297129581900.0,349209598500.0,437806862900.0,566900727100.0,758157645800.0,981711702300.0,1400530545000.0,2063617768000.0,3040646493000.0,4480253680000.0,6332908400000.0,9118425196000.0,12595064640000.0,16308906760000.0,21117830440000.0,26475592710000.0,33192662050000.0,42980012060000.0,52171685760000.0,65408059150000.0,79396178450000.0,93312511750000.0,109668059800000.0,124793620500000.0,142005318200000.0,156454758900000.0,172374470800000.0,183877698000000.0,196148580900000.0,209238348000000.0,216107250900000.0,225271064300000.0,230528938700000.0,238096771700000.0,238096771700000.0,238096771700000.0,245913042500000.0,245913042500000.0,251652705100000.0,253985906900000.0,253985906900000.0,258717407900000.0,262323788200000.0,262323788200000.0,262323788200000.0,270935386600000.0,270935386600000.0,270935386600000.0,273447368000000.0,273447368000000.0,279829687600000.0,279829687600000.0,279829687600000.0,281123917100000.0,289015971800000.0,289015971800000.0,289015971800000.0,289015971800000.0,289015971800000.0,289015971800000.0,289015971800000.0,289015971800000.0,289015971800000.0,297129581900000.0,297129581900000.0,298503824500000.0,298503824500000.0,298503824500000.0,298503824500000.0,298503824500000.0,305470967100000.0,305470967100000.0,308303145700000.0,308303145700000.0,308303145700000.0,308303145700000.0,308303145700000.0,314046521900000.0,318424160200000.0,318424160200000.0,318424160200000.0,322862820300000.0,328877428600000.0,328877428600000.0,328877428600000.0,331926620500000.0,331926620500000.0,339673858200000.0,339673858200000.0,339673858200000.0,339673858200000.0,339673858200000.0,339673858200000.0
52255103890.0,111196773100.0,145991865200.0,183031167600.0,216107250900.0,269688062600.0,338110078200.0,408528580400.0,531435915800.0,688137698600.0,862723729200.0,1202708335000.0,1646011502000.0,2273596682000.0,3243560807000.0,4627332012000.0,6188468239000.0,8828598841000.0,12307798030000.0,16689560100000.0,21412201550000.0,27344736800000.0,33192662050000.0,41613905530000.0,52171685760000.0,64807198260000.0,78666817900000.0,93312511750000.0,106673393800000.0,122511357700000.0,137491722600000.0,151481892200000.0,166895601000000.0,180514887900000.0,196148580900000.0,209238348000000.0,223201646900000.0,230528938700000.0,238096771700000.0,245913042500000.0,253985906900000.0,253985906900000.0,262323788200000.0,262323788200000.0,270935386600000.0,270935386600000.0,279829687600000.0,279829687600000.0,279829687600000.0,289015971800000.0,289015971800000.0,289015971800000.0,297129581900000.0,298503824500000.0,298503824500000.0,305470967100000.0,308303145700000.0,308303145700000.0,308303145700000.0,314046521900000.0,318424160200000.0,318424160200000.0,318424160200000.0,318424160200000.0,322862820300000.0,328877428600000.0,328877428600000.0,332746896334137.0,339673858200000.0,339673858200000.0,339673858200000.0,339673858200000.0,350824714400000.0,350824714400000.0,350824714400000.0,350824714400000.0,350824714400000.0,360673495200000.0,360673495200000.0,362341632300000.0,362341632300000.0,362341632300000.0,370798762900000.0,370798762900000.0,374236629100000.0,374236629100000.0,374236629100000.0,374236629100000.0,374236629100000.0,374236629100000.0,381208279600000.0,386522116300000.0,386522116300000.0,386522116300000.0,386522116300000.0,386522116300000.0,386522116300000.0,387672293073636.75,399210913000000.0,399210913000000.0
52255103890.0,117527711700.0,155734477300.0,198882785700.0,252816614400.0,327363352900.0,410418050300.0,524129830200.0,666265452500.0,862723729200.0,1153783300000.0,1543038469000.0,2201331107000.0,2998844231000.0,4199972947000.0,5616929824000.0,7511929493000.0,10716676480000.0,14802691270000.0,19167484920000.0,24819302890000.0,31116158280000.0,38297139140000.0,47792386500000.0,59367272160000.0,72063513210000.0,87474963020000.0,100927151500000.0,115911961900000.0,128890361200000.0,146667086600000.0,161590875400000.0,172374470800000.0,189914058200000.0,202587771200000.0,216107250900000.0,225271064300000.0,238096771700000.0,245913042500000.0,253985906900000.0,262323788200000.0,270935386600000.0,270935386600000.0,279829687600000.0,279829687600000.0,289015971800000.0,289015971800000.0,297129581900000.0,298503824500000.0,305470967100000.0,308303145700000.0,314046521900000.0,318424160200000.0,318424160200000.0,322862820300000.0,328877428600000.0,328877428600000.0,331926620500000.0,339673858200000.0,339673858200000.0,341244870800000.0,341244870800000.0,350824714400000.0,350824714400000.0,350824714400000.0,360673495200000.0,360673495200000.0,362341632300000.0,362341632300000.0,362341632300000.0,370798762900000.0,370798762900000.0,374236629100000.0,374236629100000.0,374236629100000.0,381208279600000.0,381208279600000.0,386522116300000.0,391910024900000.0,399210913000000.0,399210913000000.0,399210913000000.0,399210913000000.0,399210913000000.0,399210913000000.0,402912202800000.0,412316259100000.0,412316259100000.0,412316259100000.0,414223247200000.0,425851829200000.0,425851829200000.0,425851829200000.0,425851829200000.0,425851829200000.0,437806862900000.0,437806862900000.0,437806862900000.0,439831746700000.0,450097513000000.0
52255103890.0,120827093500.0,166127252200.0,216107250900.0,278541416300.0,365701088100.0,482354943100.0,618846823900.0,783046540400.0,1047225190000.0,1381276303000.0,1873031539000.0,2539859069000.0,3460016392000.0,4801342924000.0,6818162295000.0,8828598841000.0,12194734370000.0,16844297600000.0,21811089240000.0,27344736800000.0,34282314940000.0,42980012060000.0,53389383970000.0,65408059150000.0,78666817900000.0,92882922500000.0,106182294100000.0,120827093500000.0,133121590300000.0,146667086600000.0,161590875400000.0,178033201600000.0,189914058200000.0,202587771200000.0,216107250900000.0,230528938700000.0,244780915700000.0,253985906900000.0,262323788200000.0,270935386600000.0,279829687600000.0,281123917100000.0,289015971800000.0,289015971800000.0,298503824500000.0,298503824500000.0,308303145700000.0,308303145700000.0,318424160200000.0,318424160200000.0,328877428600000.0,328877428600000.0,331926620500000.0,339673858200000.0,341244870800000.0,350824714400000.0,350824714400000.0,350824714400000.0,360673495200000.0,362341632300000.0,362341632300000.0,362341632300000.0,374236629100000.0,374236629100000.0,374236629100000.0,374236629100000.0,386522116300000.0,386522116300000.0,386522116300000.0,386522116300000.0,399210913000000.0,399210913000000.0,399210913000000.0,402912202800000.0,412316259100000.0,412316259100000.0,414223247200000.0,425851829200000.0,425851829200000.0,425851829200000.0,425851829200000.0,437806862900000.0,437806862900000.0,439831746700000.0,439831746700000.0,439831746700000.0,450097513000000.0,454270598600000.0,454270598600000.0,454270598600000.0,462733201200000.0,469183451100000.0,469183451100000.0,469183451100000.0,469183451100000.0,475723613900000.0,484585864500000.0,484585864500000.0,489078709400000.0
52255103890.0,124219099500.0,173171713400.0,234823460100.0,309729066700.0,397373038100.0,538843844300.0,691320378000.0,911842519600.0,1169866413000.0,1543038469000.0,2131362472000.0,2916955876000.0,3955436245000.0,5438397428000.0,7511929493000.0,10046250620000.0,13749172260000.0,18558252280000.0,23919798400000.0,29850382450000.0,37770636950000.0,47353349230000.0,57480301580000.0,69772996500000.0,82002606200000.0,96375786640000.0,109668059800000.0,124793620500000.0,137491722600000.0,151481892200000.0,166895601000000.0,178033201600000.0,196148580900000.0,209238348000000.0,223201646900000.0,231595149300000.0,245913042500000.0,253985906900000.0,265980439600000.0,273447368000000.0,281123917100000.0,289015971800000.0,298503824500000.0,305470967100000.0,308303145700000.0,314046521900000.0,318424160200000.0,322862820300000.0,328877428600000.0,331926620500000.0,339673858200000.0,341244870800000.0,350824714400000.0,350824714400000.0,360645632529117.25,362341632300000.0,362341632300000.0,370798762900000.0,374236629100000.0,374236629100000.0,381208279600000.0,386522116300000.0,391910024900000.0,399210913000000.0,399210913000000.0,402912202800000.0,412316259100000.0,412316259100000.0,414223247200000.0,414223247200000.0,425851829200000.0,425851829200000.0,425851829200000.0,437806862900000.0,439831746700000.0,443536944333680.94,450097513000000.0,450097513000000.0,454270598600000.0,454270598600000.0,460465801532198.7,462733201200000.0,469183451100000.0,469183451100000.0,469183451100000.0,475723613900000.0,484585864500000.0,484585864500000.0,484585864500000.0,489078709400000.0,500493910300000.0,500493910300000.0,500493910300000.0,500493910300000.0,502808725500000.0,516924187400000.0,516924187400000.0,516924187400000.0,516924187400000.0
52255103890.0,128296979800.0,183031167600.0,248193028900.0,327363352900.0,443909653100.0,601948197400.0,772281357100.0,1013939458000.0,1306870230000.0,1700046975000.0,2337423871000.0,3243560807000.0,4337850188000.0,5991769669000.0,8013230128000.0,11017528140000.0,14939934640000.0,19796717530000.0,25634074090000.0,32137643440000.0,40291220280000.0,50513424690000.0,61316188450000.0,72396811410000.0,87474963020000.0,99539623100000.0,113268256700000.0,128890361200000.0,142005318200000.0,156454758900000.0,166895601000000.0,183877698000000.0,196148580900000.0,209238348000000.0,223201646900000.0,238096771700000.0,245913042500000.0,262323788200000.0,270935386600000.0,279829687600000.0,289015971800000.0,298503824500000.0,305470967100000.0,308303145700000.0,318424160200000.0,322862820300000.0,328877428600000.0,339673858200000.0,339673858200000.0,341244870800000.0,350824714400000.0,350824714400000.0,362341632300000.0,362341632300000.0,370798762900000.0,374236629100000.0,381208279600000.0,386522116300000.0,391910024900000.0,391910024900000.0,399210913000000.0,402912202800000.0,412316259100000.0,414223247200000.0,414223247200000.0,425851829200000.0,425851829200000.0,437806862900000.0,437806862900000.0,439831746700000.0,450097513000000.0,450097513000000.0,454270598600000.0,454270598600000.0,462733201200000.0,469183451100000.0,469183451100000.0,469183451100000.0,475723613900000.0,484585864500000.0,484585864500000.0,489078709400000.0,489078709400000.0,500493910300000.0,502808725500000.0,502808725500000.0,516924187400000.0,516924187400000.0,516924187400000.0,531435915800000.0,531435915800000.0,533893839700000.0,533893839700000.0,546355035200000.0,546355035200000.0,551420573900000.0,551420573900000.0,551420573900000.0,561692982400000.0
52255103890.0,131291458500.0,193451965400.0,262323788200.0,355715020700.0,482354943100.0,636219849300.0,835302319500.0,1081603630000.0,1420053182000.0,1925613572000.0,2587174079000.0,3460016392000.0,4627332012000.0,6391624053000.0,8587519485000.0,11807128470000.0,16233824320000.0,21117830440000.0,27344736800000.0,34282314940000.0,42980012060000.0,52171685760000.0,64807198260000.0,76872595220000.0,90346602120000.0,102807322400000.0,116986641300000.0,128890361200000.0,142005318200000.0,156454758900000.0,172374470800000.0,183877698000000.0,196148580900000.0,213136247200000.0,223201646900000.0,238096771700000.0,251652705100000.0,262323788200000.0,270935386600000.0,281123917100000.0,289015971800000.0,298503824500000.0,308303145700000.0,318424160200000.0,322862820300000.0,328877428600000.0,339673858200000.0,341244870800000.0,350824714400000.0,350824714400000.0,362341632300000.0,362341632300000.0,370798762900000.0,374236629100000.0,386522116300000.0,386522116300000.0,391910024900000.0,399210913000000.0,402912202800000.0,412316259100000.0,414223247200000.0,414223247200000.0,425851829200000.0,425851829200000.0,437806862900000.0,439831746700000.0,439831746700000.0,450097513000000.0,454270598600000.0,462733201200000.0,462733201200000.0,469183451100000.0,475723613900000.0,484585864500000.0,484585864500000.0,489078709400000.0,500493910300000.0,500493910300000.0,502808725500000.0,516924187400000.0,516924187400000.0,516924187400000.0,531435915800000.0,531435915800000.0,533893839700000.0,533893839700000.0,546355035200000.0,551420573900000.0,551420573900000.0,551420573900000.0,561692982400000.0,569522678000000.0,569522678000000.0,569522678000000.0,577461515200000.0,588219040200000.0,588219040200000.0,593672721600000.0,593672721600000.0
52255103890.0,134977233000.0,198882785700.0,285042632100.0,384742657700.0,524129830200.0,688137698600.0,886943165600.0,1153783300000.0,1543038469000.0,2092383480000.0,2759826392000.0,3690916911000.0,5074705239000.0,6818162295000.0,9118425196000.0,12595064640000.0,16844297600000.0,22527106430000.0,28242413260000.0,35407739090000.0,44390965310000.0,55653307780000.0,67555283150000.0,79396178450000.0,90346602120000.0,106182294100000.0,116986641300000.0,133121590300000.0,146667086600000.0,157178371800000.0,172374470800000.0,185582522800000.0,202587771200000.0,216107250900000.0,230528938700000.0,238096771700000.0,253985906900000.0,262323788200000.0,279829687600000.0,289015971800000.0,298503824500000.0,308303145700000.0,314046521900000.0,322862820300000.0,328877428600000.0,339673858200000.0,341244870800000.0,350824714400000.0,360673495200000.0,362341632300000.0,370798762900000.0,374236629100000.0,381208279600000.0,386522116300000.0,391910024900000.0,399210913000000.0,412316259100000.0,412316259100000.0,414223247200000.0,425851829200000.0,425851829200000.0,437806862900000.0,439831746700000.0,439831746700000.0,450097513000000.0,454270598600000.0,462733201200000.0,469183451100000.0,469183451100000.0,475723613900000.0,484585864500000.0,489078709400000.0,500493910300000.0,500493910300000.0,516924187400000.0,516924187400000.0,516924187400000.0,531435915800000.0,533893839700000.0,533893839700000.0,546355035200000.0,551420573900000.0,551420573900000.0,561692982400000.0,561692982400000.0,569522678000000.0,569522678000000.0,577461515200000.0,588219040200000.0,588219040200000.0,588219040200000.0,593672721600000.0,607529168900000.0,607529168900000.0,610339028800000.0,610339028800000.0,627473213000000.0,627473213000000.0,627473213000000.0
52255103890.0,136858742500.0,208275063000.0,297129581900.0,408528580400.0,553970928100.0,730680395100.0,950508296200.0,1230779803000.0,1676675035000.0,2273596682000.0,2998844231000.0,4066478092000.0,5363631317000.0,7273165113000.0,9726933615000.0,13435582900000.0,17397264320000.0,23266629110000.0,30127140710000.0,37251373010000.0,46707444285283.39,57480301580000.0,69772996500000.0,80875249090000.0,93312511750000.0,106182294100000.0,120827093500000.0,133121590300000.0,146667086600000.0,161590875400000.0,172374470800000.0,189914058200000.0,202587771200000.0,216107250900000.0,230528938700000.0,244780915700000.0,253985906900000.0,270935386600000.0,279829687600000.0,289015971800000.0,298503824500000.0,308303145700000.0,318424160200000.0,328877428600000.0,339673858200000.0,341244870800000.0,350824714400000.0,360673495200000.0,362341632300000.0,374236629100000.0,381208279600000.0,386522116300000.0,391910024900000.0,399210913000000.0,402912202800000.0,412316259100000.0,414223247200000.0,425851829200000.0,425851829200000.0,437806862900000.0,439831746700000.0,450097513000000.0,454270598600000.0,462733201200000.0,469183451100000.0,475723613900000.0,484585864500000.0,484585864500000.0,500493910300000.0,500493910300000.0,502808725500000.0,516924187400000.0,516924187400000.0,516924187400000.0,531435915800000.0,533893839700000.0,533893839700000.0,546355035200000.0,551420573900000.0,561692982400000.0,561692982400000.0,569522678000000.0,577461515200000.0,588219040200000.0,588219040200000.0,593672721600000.0,607529168900000.0,607529168900000.0,607671458438452.4,610339028800000.0,627473213000000.0,627473213000000.0,645088408900000.0,645088408900000.0,645088408900000.0,648071982600000.0,663198120200000.0,663198120200000.0,669346971300000.0
